tf	mem
ADARB1	TBKBP1
ADARB1	TBL1XR1
ADARB1	TCF15
ADARB1	TEX11
ADARB1	TMCC1
ADARB1	TMCO4
ADARB1	TMED9
ADARB1	TMEM105
ADARB1	TMEM132A
ADARB1	TMEM16H
ADARB1	TNFRSF25
ADARB1	TNK2
ADARB1	TNPO2
ADARB1	TNRC15
ADARB1	TPSD1
ADARB1	TRIM5
ADARB1	TRPC7
ADARB1	TRPM2
ADARB1	TSSK6
ADARB1	TUBGCP6
ADARB1	TUSC5
ADARB1	TWF1
ADARB1	UBASH3B
ADARB1	UBTF
ADARB1	UNC13D
ADARB1	USHBP1
ADARB1	VPS13D
ADARB1	VSX1
ADARB1	WHDC1L1
ADARB1	YOD1
ADARB1	YY1AP1
ADARB1	ZBTB6
ADARB1	ZBTB7B
ADARB1	ZDHHC1
ADARB1	ZDHHC19
ADARB1	ZNF192
ADARB1	ZNF414
ADARB1	ZNF423
ADARB1	ZNF552
ADARB1	ZNF771
ANKIB1	PPP1CB
ANKIB1	TTC3
ANKIB1	ZNF12
APBB1	BAZ1A
APBB1	CAPZA1
APBB1	DUSP3
APBB1	FAM127A
APBB1	MPDZ
APBB1	RAP2B
APBB1	GMPS
AFG3L1	ASB10
AFG3L1	BACH1
AFG3L1	C1orf127
AFG3L1	C21orf125
AFG3L1	C21orf2
AFG3L1	C9orf73
AFG3L1	CBWD1
AFG3L1	CLCNKB
AFG3L1	CLDN17
AFG3L1	CLIC5
AFG3L1	COX6A1
AFG3L1	CRYBB1
AFG3L1	DGCR13
AFG3L1	EIF4B
AFG3L1	EMG1
AFG3L1	EPB42
AFG3L1	EXOC4
AFG3L1	GAMT
AFG3L1	GSC
AFG3L1	KCNB1
AFG3L1	LIMK1
AFG3L1	MAP2K2
AFG3L1	MRPL12
AFG3L1	MYL3
AFG3L1	NCLN
AFG3L1	NEK6
AFG3L1	NKX1-1
AFG3L1	OPN4
AFG3L1	OR7C2
AFG3L1	PHIP
AFG3L1	PLG
AFG3L1	RHD
AFG3L1	RUNX2
AFG3L1	SLC12A4
AFG3L1	SLC22A13
AFG3L1	SLC30A2
AFG3L1	ST3GAL3
AFG3L1	TMEM43
AFG3L1	TSSK3
AFG3L1	WBSCR17
AFG3L1	YPEL4
AFG3L1	ZNF404
AFG3L1	ZNF613
AFG3L1	ZNF783
AIP	C20orf30
AIP	COPE
AIP	FARSA
AIP	LSM4
AIP	OTUB1
AIP	PCBP2
AIP	POLR2E
AIP	PPP1CA
AIP	PSMC3
AIP	TOMM22
AIP	TRAPPC2L
AIP	UBE2I
AIP	WBP11
AIP	WBSCR16
AIP	AHR
AIP	GREB1
AIP	NFKB2
AIP	RSF1
AIP	TFF1
AKT1	CAPNS1
AKT3	ATP8B2
AKT3	C20orf24
AKT3	IDS
AKT3	LRCH2
AKT3	PCDH17
AKT3	SCRN3
AKT3	SYNJ1
AKAP1	USP13
ADNP	ARID2
ADNP	BPTF
ADNP	BRWD2
ADNP	CCDC76
ADNP	CHD2
ADNP	HIAT1
ADNP	HNRPD
ADNP	KCNH2
ADNP	LSM14A
ADNP	MAPK1
ADNP	PAPD4
ADNP	PPP3R1
ADNP	SAPS3
ADNP	SMARCC1
ADNP	SMC2
ADNP	SMU1
ADNP	TAS2R49
ADNP	VPS35
ADNP	XAGE1
ADNP	ZCCHC7
ADNP	ZFAND6
ADNP	ZNF609
ADNP	ZNF638
AFAP1L1	CAV1
AKAP13	KCNS2
AMT	ADHFE1
AMT	GPRASP1
AMT	KLHDC2
AMT	MCF2L
AMT	TMOD3
ANAPC1	ABT1
ANAPC1	ADSL
ANAPC1	AK2
ANAPC1	ATIC
ANAPC1	BCCIP
ANAPC1	BID
ANAPC1	BMS1
ANAPC1	BOP1
ANAPC1	BRRN1
ANAPC1	BUB3
ANAPC1	C10orf2
ANAPC1	C12orf29
ANAPC1	C12orf30
ANAPC1	C13orf3
ANAPC1	C14orf2
ANAPC1	C1QBP
ANAPC1	C2orf49
ANAPC1	C9orf114
ANAPC1	CCT4
ANAPC1	CCT7
ANAPC1	CCT8
ANAPC1	CDC123
ANAPC1	CENPL
ANAPC1	CHCHD4
ANAPC1	CSE1L
ANAPC1	CSNK1G1
ANAPC1	CSTF1
ANAPC1	CTSB
ANAPC1	DDX1
ANAPC1	DDX46
ANAPC1	DDX47
ANAPC1	DHODH
ANAPC1	DKC1
ANAPC1	EIF3B
ANAPC1	EIF4A3
ANAPC1	EPRS
ANAPC1	EXOSC5
ANAPC1	FAM149B1
ANAPC1	FEN1
ANAPC1	GINS2
ANAPC1	GPATCH4
ANAPC1	GTF3C3
ANAPC1	HEATR1
ANAPC1	HMBS
ANAPC1	HMGN3
ANAPC1	IARS
ANAPC1	IDH3B
ANAPC1	ILF2
ANAPC1	KARS
ANAPC1	MAP7D3
ANAPC1	MCM4
ANAPC1	MCM7
ANAPC1	MKI67
ANAPC1	MRPL11
ANAPC1	MRPL30
ANAPC1	MRPL46
ANAPC1	MTHFD1
ANAPC1	NARS2
ANAPC1	NOL11
ANAPC1	NOLC1
ANAPC1	NPM1
ANAPC1	NUDCD1
ANAPC1	NUP37
ANAPC1	NUP88
ANAPC1	NUP98
ANAPC1	OIP5
ANAPC1	PAICS
ANAPC1	PRIM1
ANAPC1	PRMT5
ANAPC1	PTRH2
ANAPC1	RAN
ANAPC1	RANBP1
ANAPC1	RANBP5
ANAPC1	RBM28
ANAPC1	REXO4
ANAPC1	RNGTT
ANAPC1	RPA1
ANAPC1	RPLP0
ANAPC1	RPP40
ANAPC1	SAAL1
ANAPC1	SENP1
ANAPC1	SERBP1
ANAPC1	SFRS2
ANAPC1	SNRPB
ANAPC1	SOCS3
ANAPC1	SPAG5
ANAPC1	SRR
ANAPC1	TEX10
ANAPC1	TIMM10
ANAPC1	TIPIN
ANAPC1	TMEM48
ANAPC1	TMEM49
ANAPC1	TTC27
ANAPC1	WDR12
ANAPC1	WDR5
ANAPC1	WDSOF1
ANAPC1	YRDC
ANAPC1	ZC3H8
ANAPC1	ZNF473
ANAPC1	ZNRD1
ANAPC1	ZWILCH
AKAP8L	GPATCH8
AKAP8L	RNF38
ANK2	C2orf33
ANK2	CRYAB
ANK2	DIP2C
ANK2	DMD
ANK2	DST
ANK2	ELF4
ANK2	MAGI2
ANK2	SORBS1
ANK2	TNFRSF10A
ANKRD12	ATRX
ANKRD12	CAPZA2
ANKRD12	CEP110
ANKRD12	CMTM8
ANKRD12	FAM126B
ANKRD12	MALAT1
ANKRD12	MPHOSPH8
ANKRD12	NUDCD3
ANKRD12	PPIG
ANKRD12	RBM25
ANKRD12	RNF123
ANKRD12	SFRS18
ANKRD12	TNKS
ANKRD12	ZNF562
ANKRD9	TRIM65
AIPL1	ASB10
AIPL1	GRK5
AIPL1	KCNK16
AIPL1	ZNF763
ANKRD15	ACTN2
ANKRD15	ALKBH8
ANKRD15	C1orf105
ANKRD15	C20orf200
ANKRD15	CACNG6
ANKRD15	CAMK2B
ANKRD15	CAPZB
ANKRD15	CCDC13
ANKRD15	CCT8
ANKRD15	DNAJA4
ANKRD15	DNAJC4
ANKRD15	E2F4
ANKRD15	ERC1
ANKRD15	EXOC8
ANKRD15	FHAD1
ANKRD15	GAGE2A
ANKRD15	GPR113
ANKRD15	GRK5
ANKRD15	HRH3
ANKRD15	IGHMBP2
ANKRD15	IRGM
ANKRD15	JMJD2A
ANKRD15	KTN1
ANKRD15	LIMD1
ANKRD15	LOXL2
ANKRD15	NCR2
ANKRD15	NKAIN4
ANKRD15	NLRP1
ANKRD15	OBSL1
ANKRD15	OR51B2
ANKRD15	OR51E1
ANKRD15	OR7E104P
ANKRD15	PAGE5
ANKRD15	PDE5A
ANKRD15	PDZRN3
ANKRD15	PKN3
ANKRD15	SETD5
ANKRD15	SIRT3
ANKRD15	TNK2
ANKRD15	TRIMP1
ANKRD15	TTC13
ANKRD15	TTLL7
ANKRD15	TUBGCP6
ANKRD15	UBE2D4
ANKRD15	ZFP28
ANKRD15	ZNF337
ANKRD15	ZNF419
ANKRD15	ZNF74
ANKRD13C	BRCC3
ANKRD13C	GOPC
ANKRD13C	HCG18
ANKRD13C	MIER3
ANKRD13C	PIAS2
ANKRD13C	POLR2D
ANKRD13C	RAB6A
ANKRD13C	RBAK
ANKRD13C	SIP1
ANKRD13C	SPAG9
ANKRD13C	TRUB1
ANKRD37	ITFG1
ANKRD37	LCE1E
ANKRD37	WNT6
ANK1	ARSD
ANK1	C20orf151
ANK1	CLYBL
ANK1	DCLK2
ANK1	HMCN2
ANK1	HTR7
ANK1	ITPKB
ANK1	KRT83
ANK1	MBD6
ANK1	MYO18A
ANK1	WDR90
ANKS6	ABCF2
ANKS6	C16orf59
ANKS6	WDR79
ALG1	ACLY
ALG1	AP2S1
ALG1	C14orf1
ALG1	CCDC137
ALG1	CHD1L
ALG1	CNPY2
ALG1	COMMD4
ALG1	CYP51A1
ALG1	DDX19A
ALG1	DDX55
ALG1	HERC1
ALG1	MPDU1
ALG1	null
ALG1	OPRS1
ALG1	PRMT6
ALG1	SAE1
ALG1	SQLE
ALG1	SRPRB
ALG1	STIP1
ALG1	TMED2
ALG1	TXNDC17
ALG1	ZCCHC10
ANKRD17	BIRC6
ANKRD17	BRCA2
ANKRD17	BRWD2
ANKRD17	C10orf18
ANKRD17	C11orf58
ANKRD17	C12orf48
ANKRD17	C14orf118
ANKRD17	C14orf126
ANKRD17	C18orf24
ANKRD17	C4orf16
ANKRD17	C8orf53
ANKRD17	CASD1
ANKRD17	CCDC88A
ANKRD17	CEP27
