geneA_genesym	geneB_genesym
GYPB	UTP20
DHRS7B	GYPB
GYPB	PDS5B
GYPB	PDS5A
FAM115C	GYPB
ATR	GYPB
GYPB	SHCBP1
GYPB	IP6K1
ARFGEF2	GYPB
GYPB	HEATR3
DNM2	GYPB
DNM3	GYPB
GYPB	SMYD4
FANCG	GYPB
GYPB	UBE4A
GYPB	RANBP6
ERCC4	GYPB
GYPB	LRBA
GYPB	METTL15
GYPB	SLC39A10
GYPB	STX3
GYPB	TNPO2
GYPB	SEC62
EIF2B3	GYPB
ASPHD2	GYPB
EBP	GYPB
GYPB	TUBGCP3
GYPB	RTN2
GYPB	LRRC8A
GYPB	LPCAT3
GYPB	RANBP17
EIF2B2	GYPB
ARL6IP5	GYPB
GYPB	MAD2L2
GYPB	TSPAN15
GYPB	TTYH3
CPLX1	GYPB
GYPB	STAG2
HIGD1A	IPO13
CHMP1A	HMGN2
HIST1H2AG	HMGN2
HMGN2	PYGB
HMGN2	KLHL36
GBE1	HMGN2
H2AFY	HMGN2
HMGN2	PARP2
ISG20	NCAM1
ISG20	PTPRG
EPB41L1	ISG20
ISG20	SRC
EFR3A	ISG20
GNAZ	ISG20
CSNK1G3	ISG20
EEPD1	ISG20
GNAQ	ISG20
C8orf47	ISG20
LSM2	LSM5
LSM4	LSM5
LSM1	LSM5
LSM5	NAA38
LSM5	PRPF3
LSM5	SART3
LSM5	ZGPAT
LSM5	TUT1
LSM5	PRPF4
LSM5	S100B
LSM5	RDH13
DDX23	LSM5
LSM5	PRPF31
LSM5	POLH
LSM5	NHP2L1
LSM5	SART1
LSM5	PATL1
AKAP7	LSM5
LSM5	SNRPD2
LSM5	MEPCE
LSM5	LSM7
LSM5	RBM42
LSM5	TMCO6
LSM5	SNRNP27
HAPLN3	LSM5
LSM3	LSM5
LSM5	ZNF511
LSM5	SNRPF
C14orf79	FAT3
LYRM2	OXSM
ACADS	LYRM2
LYRM2	NDUFAB1
GOPC	MANBAL
MANBAL	S100A6
MLLT11	S100B
C8orf59	MRPL34
MRPL34	RANBP6
IPO5	MRPL34
MRPL34	RPL6
MRPL34	SLC27A2
MRPL34	RPL38
MRPL34	MRPL39
KBTBD7	MRPL34
MRPL34	UTP11L
HBZ	MRPL34
MRPL34	MRPL47
C19orf53	MRPL34
MRPL34	RPS8
MRPL34	RPL13
CSNK1G3	MRPL34
MRPL34	RAP1A
MRPL10	MRPL34
MRPL28	MRPL34
MRPL34	MRPL50
MRPL34	MRPL4
MUCL1	PDIA5
MUCL1	TMEM85
HSP90AA4P	NDUFA4L2
NDUFA4L2	POTEI
ACTC1	NDUFA4L2
ACTBL2	NDUFA4L2
HBB	PLXNB1
HBA2	PLXNB1
PLXNB1	SMPX
RPL37A	RPLP2
NIP7	RPL37A
RPL37A	RPL4
NCL	RPL37A
RPF1	RPL37A
CCDC137	RPL37A
C16orf88	RPL37A
RBM28	RPL37A
RPL37A	RPS3A
DDX24	RPL37A
FTSJ3	RPL37A
DDX21	RPL37A
MYEF2	RPL37A
RPL37A	RPLP0
RPL3	RPL37A
RPL37A	ZFP62
RPL37A	TAF1A
RPL37A	ZNF512
RPL10A	RPL37A
DKC1	RPL37A
RPL37A	STAU2
RPL37A	STAU1
DHX30	RPL37A
DDX56	RPL37A
RPL37A	RPL6
DDX27	RPL37A
CEBPZ	RPL37A
GLYR1	RPL37A
REXO4	RPL37A
DDX31	RPL37A
MYBBP1A	RPL37A
RPL26L1	RPL37A
RPL26	RPL37A
RPL18	RPL37A
RPL29	RPL37A
NOP56	RPL37A
RPL37A	WHSC1
RPL37A	RRP8
PAPD5	RPL37A
HIST2H2AB	RPL37A
EBNA1BP2	RPL37A
RPL37A	UTP23
RPL18A	RPL37A
RPL37A	SURF6
NPM1	RPL37A
GTPBP4	RPL37A
KIAA0020	RPL37A
RPL37A	RPL8
NOP2	RPL37A
RPL37A	ZC3HAV1
RPL36AL	RPL37A
RPL27	RPL37A
GLTSCR2	RPL37A
RPL37A	TUBA8
RPL37A	SART3
GPATCH4	RPL37A
RPL37A	UTP3
