protein_A	protein_B
WDR46	WHSC1
PAK1IP1	WDR46
DDX10	WDR46
DDX31	WDR46
RBM5	WDR46
BOP1	WDR46
PURA	WDR46
WDR43	WDR46
PRKRA	WDR46
XPC	XRCC6
PARP1	XRCC6
XRCC5	XRCC6
SSRP1	XRCC6
RAD21	SMC3
DDB2	SAMD4A
HDAC3	TRMT1
DMD	SNTA1
DMD	SNTB1
DMD	WDR54
APPL1	APPL2
DDX17	DDX5
DDX31	SART3
DDX31	RPL26L1
FOXK2	TP63
FOXK1	TP63
CUL4B	WDTC1
SSRP1	XPC
PARP1	SSRP1
MCM4	SSRP1
MCM7	SSRP1
MCM6	SSRP1
LIMD1	ZFYVE1
LONRF2	ZFYVE1
POLR2G	POLR2L
FAM109A	SPG7
NFYB	NFYC
GNB2	SHBG
DDX28	METAP2
ARMC6	ZNF146
TRIM28	ZNF195
TRIM28	ZNF460
TRIM28	ZNF33A
PARP1	XPC
RPL26L1	ZC3HAV1
YBX1	ZC3HAV1
RBM28	ZC3HAV1
DHX30	ZC3HAV1
DDX27	ZC3HAV1
DDX10	ZC3HAV1
RBM19	ZC3HAV1
LARP1	ZC3HAV1
WHSC1	ZC3HAV1
KRR1	ZC3HAV1
ITGB1BP1	KRIT1
JUN	RFWD2
SFPQ	SMARCC1
PSPC1	SFPQ
SFPQ	SYNCRIP
SMAD5	SMURF2
IGHMBP2	WDR12
GRSF1	IGHMBP2
IGHMBP2	NLE1
MAPK8IP3	SPAG9
MAPK8IP3	TNKS
MAPK8IP3	WDR54
NSMAF	PKP3
LARP7	SART3
RPL26L1	SART3
SART3	YBX1
RBM28	SART3
RPS3	SART3
DHX30	SART3
RRP12	SART3
LARP1	SART3
SART3	TOE1
EML4	FBXO28
FBXO28	TRAF7
FBXO28	NEDD1
COPS2	KLHDC3
COPS6	KLHDC3
BRAP	KLHDC3
FOXK1	KLHDC3
KLHDC3	TBL1X
KLHDC3	LCOR
BUB3	CDC27
BUB3	ZNF207
LPXN	PDLIM7
LPXN	ZNF281
LIMD1	LPXN
NASP	RBBP4
SF3B1	U2AF2
SF3B2	U2AF2
CCNA2	SAMHD1
CCNA2	PHF8
CCNA2	RBL2
CCNA2	CREBBP
CCNA2	EP300
NFKBIE	REL
NFKB2	REL
REL	RELA
EHMT1	ZBTB46
FBXL17	ZBTB46
WIZ	ZBTB46
FOXP1	FOXP3
NR2F2	NR2F6
AKT1	NR2F2
AAAS	REL
AATF	MDM2
AATF	RBL2
AATF	RELA
AATF	SS18L1
AATF	TSG101
ABL1	AP2B1
ABL1	CREB1
ABL1	JUN
ABL1	KHDRBS1
ABL1	MDM2
ABL1	MDM4
ABL1	PSMD4
ABL1	RAD51
ABL1	SHC1
ABL1	SOS1
ABL1	TP53
ABL1	XPO1
ABL1	XRCC6
ABL1	YTHDC1
ABTB2	RBX1
AES	AR
AES	HGS
AES	HMGB1
AES	RELA
AES	RUNX1
AES	SIX1
AES	TLE3
AHR	AIP
AHR	EP300
AHR	ESR1
AHR	GTF2F1
AHR	GTF2F2
AHR	NCOA1
AHR	NCOR2
AHR	NRIP1
AHR	RELA
AHR	SMARCA4
AHR	STUB1
AHR	TAF4
AHR	TAF6
AHR	TAF9
AHR	TBP
AIP	ARNT
AKAP13	ESR1
AKAP13	RANBP2
AKAP13	RXRB
AKAP13	THRA
AKT1	APPL1
AKT1	AR
AKT1	ASXL1
AKT1	BCL10
AKT1	CLTC
AKT1	CREBBP
AKT1	CTBP1
AKT1	DDX5
AKT1	DNMT1
AKT1	EEF1G
AKT1	EP300
AKT1	EZH2
AKT1	FKBP5
AKT1	GAB2
AKT1	HDAC3
AKT1	IKBKB
AKT1	KAT2B
AKT1	MDM2
AKT1	NCOA4
AKT1	NCOR2
AKT1	NPM1
AKT1	PA2G4
AKT1	PEA15
AKT1	PHB2
AKT1	PIAS2
AKT1	SIRT1
AKT1	SMAD2
AKT1	SMAD4
AKT1	SMARCC1
AKT1	SMARCC2
AKT1	STUB1
AKT1	YBX1
ANAPC1	ANAPC11
ANAPC1	CDC20
ANAPC1	CDC27
ANAPC1	COPS2
ANAPC1	FBXO5
ANAPC1	PAXIP1
ANAPC1	PHF8
ANAPC1	TP53BP1
ANAPC1	TRIM33
ANAPC11	CCNB1
ANAPC11	CDC16
ANAPC11	CDC20
ANAPC11	CDC27
ANAPC11	FBXO5
ANAPC11	FZR1
ANK1	SPTBN1
ANK2	ANKRD28
ANK2	DMD
ANK2	SPTBN1
ANKFY1	ANKRD28
ANKRD11	HDAC3
ANKRD17	MDM2
ANKRD17	NFKBIE
ANKRD22	SS18L1
ANKRD28	EEF1G
ANKRD28	NFKBIE
ANKRD28	TNKS
ANKRD28	UACA
ANKRD39	CUL4B
AP2B1	CLTC
AP2B1	DAB2
AP2B1	EDC4
AP2B1	LNPEP
AP2B1	SHC1
AP2B1	SMAD4
AP2B1	THAP1
APAF1	NLRP1
APITD1	TOP3A
APPL1	AR
APPL1	DNM2
APPL1	HDAC1
APPL1	HDAC2
APPL1	HDAC3
APPL1	HDAC5
APPL1	MTA2
APPL1	RBBP4
APPL1	RBBP7
APPL1	RUVBL2
APPL2	MTA2
APPL2	RBBP7
APPL2	RUVBL2
AR	ASXL1
AR	CCNE1
AR	CEBPA
AR	CEBPB
AR	CHD8
AR	COPS2
AR	CREBBP
AR	DDB2
AR	DNAJC7
AR	E2F4
AR	EP300
AR	ERCC3
AR	FHL2
AR	FKBP4
AR	FKBP5
AR	FOXA1
AR	FOXO1
AR	GTF2F1
AR	GTF2F2
AR	GTF2H1
AR	HDAC1
AR	HDAC3
AR	HDAC4
AR	HDAC7
AR	HMGB1
AR	HMGB2
AR	IFI16
AR	JUN
AR	KAT5
AR	KIF1A
AR	KIFAP3
AR	LCOR
AR	MDM2
AR	MDN1
AR	MED1
AR	NCOA1
AR	NCOA4
AR	NCOR1
AR	NCOR2
AR	NONO
AR	NR2C1
AR	NR2C2
AR	PA2G4
AR	PATZ1
AR	PIAS2
AR	PIAS3
AR	PIAS4
AR	POU2F2
AR	PPID
AR	PRPF6
AR	PSPC1
AR	RCHY1
AR	RNF14
AR	RNF20
AR	RNF40
AR	RNF6
AR	RUVBL1
AR	SART3
AR	SFPQ
AR	SIRT1
AR	SMAD4
AR	SMARCA2
AR	SMARCA4
AR	SMARCC1
AR	SMARCD1
AR	SMARCE1
AR	STUB1
AR	TAF1
AR	TBP
AR	TCF4
AR	TGIF1
AR	TP53
AR	TRIM24
AR	TSG101
AR	WDR77
AR	WHSC1
AR	XRCC5
AR	XRCC6
AR	ZBTB7A
ARHGEF1	SMAD2
ARHGEF1	SMURF2
ARID1A	ARID1B
ARID1A	ECT2
ARID1A	HIC1
ARID1A	ING1
ARID1A	SMAD2
ARID1A	SMARCA2
