protein_A	protein_B
HDAC3	MBD1
HDAC3	NCOR1
HDAC3	NCOR2
HDAC3	NONO
HDAC3	NR2C1
HDAC3	NR2C2
HDAC3	NRIP1
HDAC3	PARP1
HDAC3	PARP14
HDAC3	PBX1
HDAC3	PHB2
HDAC3	PIAS2
HDAC3	PPARD
HDAC3	RBBP4
HDAC3	RBBP7
HDAC3	RCOR3
HDAC3	RELA
HDAC3	RUNX1
HDAC3	RXRA
HDAC3	SAFB
HDAC3	SAP30
HDAC3	SF3B1
HDAC3	SMARCA4
HDAC3	SMARCD1
HDAC3	TBL1X
HDAC3	THRA
HDAC3	TOP2B
HDAC3	TRIM28
HDAC3	WDR5
HDAC3	XPO1
HDAC3	YY1
HDAC3	ZBTB7A
HDAC3	ZBTB7B
HDAC3	ZNF148
HDAC4	HDAC5
HDAC4	HDAC7
HDAC4	HIC1
HDAC4	IKZF1
HDAC4	JDP2
HDAC4	LCOR
HDAC4	MEF2C
HDAC4	NCOR1
HDAC4	NCOR2
HDAC4	NFATC1
HDAC4	NFKBIE
HDAC4	NR1H2
HDAC4	NR2C1
HDAC4	NR2C2
HDAC4	PPARD
HDAC4	RBBP4
HDAC4	REST
HDAC4	RUVBL2
HDAC4	RXRA
HDAC4	SIRT1
HDAC4	SS18L1
HDAC4	TP53BP1
HDAC4	YY1
HDAC4	ZBTB7B
HDAC4	ZEB2
HDAC4	ZNF148
HDAC5	HDAC7
HDAC5	IKZF1
HDAC5	ILF3
HDAC5	JDP2
HDAC5	MCM3
HDAC5	MCM4
HDAC5	MCM5
HDAC5	MCM6
HDAC5	MCM7
HDAC5	MEF2C
HDAC5	MTA2
HDAC5	NCOR1
HDAC5	NCOR2
HDAC5	NFATC1
HDAC5	NFKBIE
HDAC5	NONO
HDAC5	NPEPPS
HDAC5	NPM1
HDAC5	NRIP1
HDAC5	PA2G4
HDAC5	PARP1
HDAC5	PCBP2
HDAC5	PHB2
HDAC5	PRPF19
HDAC5	PSMD11
HDAC5	PSMD6
HDAC5	PTBP1
HDAC5	RBBP4
HDAC5	RBBP7
HDAC5	RBM14
HDAC5	RBM25
HDAC5	RBM39
HDAC5	REST
HDAC5	RPS3
HDAC5	RPS4X
HDAC5	RUVBL1
HDAC5	RUVBL2
HDAC5	SF3B1
HDAC5	SF3B2
HDAC5	SFPQ
HDAC5	SMC3
HDAC5	TBL1X
HDAC5	TNPO1
HDAC5	TP53
HDAC5	TRIM28
HDAC5	WDR5
HDAC5	XPO1
HDAC5	XRCC5
HDAC5	XRCC6
HDAC5	YY1
HDAC5	ZBTB7B
HDAC7	IKZF1
HDAC7	KAT5
HDAC7	MEF2C
HDAC7	NCOR1
HDAC7	NCOR2
HDAC7	PPARD
HDAC7	PPP1R12A
HDAC7	TBL1X
HDAC8	SMC3
HDAC8	SMG6
HDLBP	PSMD12
HDLBP	SMAD4
HDLBP	SOS1
HDLBP	UBE4B
HDLBP	XRCC5
HDLBP	ZNF598
HES1	ID1
HES1	ID4
HES1	PARP1
HES1	SIRT1
HEXIM1	MDM2
HEXIM1	RELA
HEXIM1	TERF2
HEXIM1	TP53
HGS	KRT19
HGS	OSBPL5
HGS	PLD3
HGS	SMAD2
HGS	SMAD4
HGS	SMAD5
HGS	TRIM3
HGS	TSG101
HGS	WDR77
HIC1	RBBP4
HIC1	SIRT1
HIC1	TCF4
HIC1	TCF7L2
HLTF	PHLDA3
HLTF	RNF146
HLTF	SP3
HMG20B	MTA3
HMG20B	SF3A2
HMGA1	HMGB1
HMGA1	HMGB2
HMGA1	IRF1
HMGA1	JUN
HMGA1	METAP2
HMGA1	NFYA
HMGA1	NPM1
HMGA1	PA2G4
HMGA1	PARP1
HMGA1	PCBP2
HMGA1	POU2F2
HMGA1	PTBP1
HMGA1	RXRA
HMGA1	SSB
HMGA1	SYNCRIP
HMGA1	TERF2
HMGA1	TP53
HMGA1	XRCC6
HMGA2	NPM1
HMGA2	PA2G4
HMGA2	PCBP2
HMGA2	PIAS3
HMGA2	PTBP1
HMGA2	PXN
HMGA2	RELA
HMGA2	SMAD5
HMGA2	SYNCRIP
HMGA2	XRCC6
HMGB1	HMGB2
HMGB1	HOXB3
HMGB1	HOXD8
HMGB1	RELA
HMGB1	SMARCE1
HMGB1	SSRP1
HMGB1	TBP
HMGB1	TERF2
HMGB1	TFAP4
HMGB1	TP53
HMGB1	XPC
HMGB2	POU2F2
HMGB2	TFAP4
HOMER3	IKBKB
HOXA9	PBX1
HOXA9	PBX3
HOXA9	RBPMS
HOXA9	SMAD4
HOXB7	PARP1
HOXB7	PBX1
HOXB7	XRCC5
HOXB7	XRCC6
HOXC9	ZNF384
HSF2	NCAPG
HTATSF1	POLR2E
HTATSF1	PTBP1
HTATSF1	SF3A2
HTATSF1	SFPQ
ID1	PSMD4
ID1	SMURF2
ID1	TCF3
ID4	TCF3
IFI16	TP53
IFI16	TP53BP1
IFI16	TPR
IFIT3	ILF3
IFIT3	PABPC4
IFIT3	SNRPB2
IFIT3	SSB
IFIT3	YBX1
IGF2BP2	PA2G4
IGF2BP2	PUF60
IGF2BP3	KRT17
IGF2BP3	PA2G4
IGF2BP3	PUF60
IGF2BP3	RAE1
IGF2BP3	RPL26L1
IGF2BP3	YBX1
IGFBP3	RXRA
IKBKB	NFKB2
IKBKB	NFKBIB
IKBKB	PARP1
IKBKB	PYCARD
IKBKB	RELA
IKBKB	RPS3
IKBKB	SMARCC1
IKBKB	STAP2
IKBKB	TFAP2C
IKBKB	TNFAIP3
IKBKB	TP53
IKBKB	TP63
IKBKB	TRIM27
IKZF1	NCOR2
IKZF1	RBBP4
IKZF1	SMARCA4
IKZF1	SMARCE1
IKZF1	TBP
ILF3	KRT17
ILF3	LMO7
ILF3	MRPL23
ILF3	MRPL44
ILF3	PHB2
ILF3	RAE1
ILF3	RBM39
ILF3	RBM5
ILF3	RNF113A
ILF3	RPS23
ILF3	RPS3
ILF3	RPS4X
ILF3	SF3A2
ILF3	SF3B1
ILF3	SF3B4
ILF3	SFPQ
ILF3	SYNCRIP
ILF3	XAB2
ILF3	XRCC6
ILF3	YBX1
ILF3	YY1
ING1	KAT2B
ING1	RBBP4
ING1	SAP30
ING1	SIRT1
ING1	SMARCA4
ING1	SMARCC1
ING1	SMARCC2
ING1	SMARCD1
ING1	TP53
ING1	TRRAP
ING2	RBBP4
ING2	SIRT1
ING2	SKIL
ING2	SMAD2
ING2	SMARCC1
ING2	SMARCC2
ING2	SMURF2
ING2	TP53
ING5	MCM4
ING5	MCM6
ING5	TP53
INPP5D	SHC1
INTS4	INTS6
INTS6	INTS8
INTS6	MCM7
INTS6	POLR2E
INTS6	POLR2G
INTS6	POLR2L
INTS6	UPF2
INTS6	ZMYND8
IPO11	PDLIM5
IPO11	PHLDA3
IRF1	IRF8
IRF1	KAT2B
IRF1	MDM2
IRF1	NPM1
IRF1	SP2
IRF1	STUB1
IRF1	TRIM28
IRF1	YBX1
IRF2	IRF8
IRF2	KAT2B
IRF2	MDM2
IRF2	RELA
IRF3	PIAS4
IRF3	RBL2
IRF3	SMAD2
IRF3	SMAD4
IRF3	SMURF2
IRF3	TANK
IRF3	TOMM70A
IRF4	NFATC2
IRF8	RELA
IRF8	SMURF2
ITGB1BP1	TANK
ITIH4	TP63
JARID2	MTF2
JARID2	RBBP4
JARID2	RBBP7
JDP2	JUN
JDP2	JUND
JUN	MAZ
JUN	MDM2
JUN	MTA3
JUN	NCOA1
JUN	NCOR2
JUN	NFATC2
JUN	NFYA
JUN	NRIP1
JUN	PIAS2
JUN	RBM39
JUN	RELA
JUN	RUNX1
JUN	SIRT1
JUN	SMAD2
JUN	SMARCA2
JUN	STAT4
JUN	TAF1
JUN	TAF4
JUN	TBP
JUN	TCF7L2
JUN	TGIF1
JUN	TSC22D3
JUN	TSG101
JUN	VDR
JUNB	SMAD4
JUNB	SMARCA4
JUNB	SMARCD1
JUNB	YY1
JUND	MDM2
JUND	RFWD2
JUND	SIRT1
JUND	YY1
KARS	SSB
KARS	TANK
KARS	TRMT1
KAT2B	KLF13
KAT2B	MDM2
KAT2B	MYSM1
KAT2B	NCOA1
KAT2B	NCOA4
KAT2B	NFYB
KAT2B	NFYC
KAT2B	RBPJ
KAT2B	SIRT1
KAT2B	SMAD2
KAT2B	SMARCA2
KAT2B	SUPT3H
KAT2B	TAF15
KAT2B	TAF5L
KAT2B	TAF9
KAT2B	TCF3
KAT2B	TP53
KAT2B	TRRAP
KAT2B	WWTR1
KAT5	MDM2
KAT5	MYB
KAT5	RBPJ
KAT5	RCHY1
KAT5	RELA
KAT5	SIRT1
KAT5	TP53
KAT5	TRIM29
KAT5	UBTF
KAT5	ZEB1
KAT5	ZNF24
KDM2A	RELA
KDM5A	RBPJ
KDM5A	TBP
KDM5A	VDR
KHDRBS1	OSTF1
KHDRBS1	PTBP2
KHDRBS1	SMAD2
KHDRBS1	SMARCA2
KHDRBS1	STUB1
KHDRBS1	TBL1X
KHDRBS1	TOB1
KHDRBS1	U2AF2
KHDRBS1	YTHDC1
KHSRP	PTBP2
KHSRP	PUF60
KHSRP	RAE1
KIF1A	MED1
KIF1A	RXRA
KIFAP3	RANBP2
KIFAP3	SMC3
KLF13	PCBD1
KLF5	SMAD2
KLF5	SMAD4
KLF5	SMURF2
KLF5	TBP
KLF5	TRIM25
KLF5	WWP1
KLF5	WWTR1
KLF6	LCOR
KLF6	PNO1
KLF6	TAF9
KLHL7	RBX1
KNTC1	PIAS4
KNTC1	VARS
KPNA1	NPM1
KPNA1	PRPF19
KPNA1	RANBP2
KPNA1	TAF9
KPNA1	TP53BP1
KPNA3	MCM4
KPNA3	MCM6
KPNA3	MDM4
KPNA3	MKL1
KPNA3	RANBP2
KPNA3	RELA
KPNA3	SIRT1
KPNA3	TP53BP1
KPNA3	ZNF131
KPNA4	RANBP2
KPNA4	TP53
KRIT1	RCHY1
KRR1	PAXIP1
KRR1	TNFAIP3
KRR1	ZBP1
KRT1	SHC1
KRT1	TANK
KRT17	KRT8
KRT17	PA2G4
KRT17	SHC1
KRT19	PLEKHA5
KRT19	ZNF638
KRT8	RCHY1
LAMA4	TP53
LAMB1	POLR2E
LAMB1	TGFB1
LANCL1	SIRT1
LARP1	PAXIP1
LARP1	RPS3
LARP1	RPS4X
LARP1	TSG101
LARP1	YBX1
LARP7	MTA2
LARP7	PAXIP1
LARP7	SPAG9
LARP7	TERF2
LARP7	TRIM28
LARP7	YBX1
LCOR	VDR
LIG1	PRMT3
LMCD1	SMURF2
LMO7	MDM2
LNPEP	TNKS
LRRFIP1	MYD88
MBD1	PIAS2
MBD1	PIAS3
MBD1	SMAD5
MBNL1	TIAL1
MCM3	MGMT
MCM3	RAD21
MCM3	RPA1
MCM3	SSRP1
MCM4	MCM5
MCM4	MCM6
MCM4	MCM7
MCM4	RAD21
MCM4	RPA1
MCM5	MCM6
MCM5	MCM7
MCM5	PHLDA3
MCM5	SSRP1
MCM6	MCM7
MCM6	PAXIP1
MCM6	PMS1
MCM6	RPA1
MCM6	SF3B1
MCM6	TNFAIP3
MCM6	TP53BP1
MCM7	MNAT1
MCM7	RAD21
MCM7	RBBP4
MCM7	RBL2
MCM7	RBM8A
MCM7	RPA1
MCM7	TERF2
MCM7	TOMM34
MDM2	MED1
MDM2	MYD88
MDM2	NPM1
MDM2	PA2G4
MDM2	PAK1IP1
MDM2	PBX1
MDM2	PDLIM7
MDM2	PSMD4
MDM2	RBBP6
MDM2	RBL2
MDM2	RCHY1
MDM2	RELA
MDM2	RFWD2
MDM2	RPS3
MDM2	RUNX3
MDM2	SIVA1
MDM2	TAF1
MDM2	TBP
MDM2	TBRG1
MDM2	TP63
MDM2	TRIM27
MDM2	TRIM28
MDM2	TRRAP
MDM2	TSG101
MDM2	UBE4B
MDM2	XPO1
MDM2	XRCC6
MDM2	YY1
MDM4	MNAT1
MDM4	RCHY1
MDM4	RFWD2
MDM4	SMAD4
MDM4	TP63
MDN1	TEX10
MED1	NR1H2
MED1	PARP1
MED1	POLR2E
MED1	RXRA
MED1	RXRB
MED1	SUPT3H
MED1	THRA
MED1	TP53
MED1	TRRAP
MED1	VDR
MED1	ZNF281
MED23	PARP1
MED23	RELA
MED23	TRRAP
MED23	VDR
MED23	WDTC1
MEF2C	SMAD2
MEF2C	SPTBN1
METAP2	NPEPPS
MGMT	MSH2
MGMT	PABPC3
MGMT	PRPF4
MGMT	SSRP1
MGMT	XRCC6
MICAL3	SSB
MKL1	MKL2
MKL1	SMARCA4
MKL1	SSRP1
MNAT1	POU2F2
MNAT1	RNF7
MNAT1	TP53
MNAT1	TRIM5
MNDA	WHSC1L1
MRPL23	MRPL28
MRPL23	PSMD4
MRPL23	RPS3
MRPL23	TCF3
MRPL24	MRPL44
MRPL24	NPM1
MRPL24	YBX1
MRPL28	NPM1
MRPL28	PSMD4
MRPL44	NPM1
MRPL44	SHC1
MRPL44	TCF3
MSH2	PMS1
MSH2	RAD21
MSH2	RAD51
MSH2	RBM25
MSH2	TOP2B
MSH2	TP53
MSH2	XRCC5
MSH2	XRCC6
MSX2	PIAS2
MSX2	POU2AF1
MSX2	XRCC5
MSX2	XRCC6
MTA2	MTA3
MTA2	NR2C1
MTA2	RBBP4
MTA2	SAP30
MTA2	SPAG9
MTA2	TOP2B
MTA2	TP53
MTA2	TP53BP1
MTA2	TRIM28
MTA2	TSC22D3
MTA2	XPO1
MTA2	YY1
MTA2	ZEB2
MTA3	RAD21
MTA3	RBBP4
MTA3	RCOR3
MTA3	TFAP4
MTX1	MTX2
MYB	NCOR1
MYB	PARP1
MYB	PPID
MYB	RBX1
MYB	SMARCA2
MYB	STAT5A
MYB	TRIM28
MYB	TTF2
MYB	WDR5
MYB	ZFHX3
MYB	ZMYND11
MYD88	STAP2
MYO10	TERF2
MYSM1	RBM10
MYSM1	WDR77
NAB2	TNPO1
NASP	TERF2
NASP	TFE3
NCAPD3	NCAPG2
NCAPD3	PAXIP1
NCAPG	NPM1
NCAPG	PARP1
NCAPG	PAXIP1
NCAPG	RAD21
NCAPG2	PHLDA3
NCOA1	NCOR1
NCOA1	NR1H2
NCOA1	NR2F6
NCOA1	PPARD
NCOA1	RBBP6
NCOA1	RORA
NCOA1	RXRA
NCOA1	RXRB
NCOA1	SMARCE1
NCOA1	STAT5A
NCOA1	TBP
NCOA1	THRA
NCOA1	TP53
NCOA1	TRIM24
NCOA1	VDR
NCOA4	RXRA
NCOA4	VDR
NCOR1	NCOR2
NCOR1	NR1H2
NCOR1	PPARD
NCOR1	PTMA
NCOR1	RBBP4
NCOR1	RBBP7
NCOR1	REST
NCOR1	RUNX1
NCOR1	RXRA
NCOR1	SAFB
NCOR1	SAP30
NCOR1	SIRT1
NCOR1	SKIL
NCOR1	SMAD4
NCOR1	SMARCA2
NCOR1	SMARCA4
NCOR1	SMARCC1
NCOR1	SMARCC2
NCOR1	SMARCD1
NCOR1	SMARCE1
NCOR1	TAF6
NCOR1	TAF9
NCOR1	TBL1X
NCOR1	TCF3
NCOR1	THRA
NCOR1	TP53
NCOR1	TRIM28
NCOR1	TRIM33
NCOR1	VDR
NCOR1	ZBTB7A
NCOR1	ZMYND11
NCOR2	NFKBIB
NCOR2	NFKBIE
NCOR2	NR1H2
NCOR2	NR2F2
NCOR2	PPARD
NCOR2	RBPJ
NCOR2	RELA
NCOR2	RUNX1
NCOR2	RXRA
NCOR2	SAP30
NCOR2	SIRT1
NCOR2	SKIL
NCOR2	SMARCA4
NCOR2	STAT5A
NCOR2	TBL1X
NCOR2	THRA
NCOR2	VDR
NCOR2	ZBTB7A
NF1	SMAD2
NF1	SMAD4
NF1	SMARCA4
NFATC1	PARP1
NFATC2	TAF9
NFATC2	TFAP4
NFATC2	TNPO1
NFIX	PIR
NFKB2	NFKBIE
NFKB2	PARP1
NFKB2	PSMD11
NFKB2	RELA
NFKB2	RPS3
NFKB2	RPS4X
NFKB2	SFPQ
NFKB2	TNFAIP3
NFKB2	TSC22D3
NFKB2	TSG101
NFKB2	XRCC5
NFKBIB	POLR2L
NFKBIB	RXRA
NFKBIB	SFPQ
NFKBIB	ZBTB7A
NFKBIB	ZNRD1
NFKBIE	RELA
NFKBIE	RUVBL2
NFKBIE	SFPQ
NFKBIE	UACA
NFYA	NFYB
NFYA	PWP1
NFYA	TAF6
NFYA	TP53
NFYA	TP63
NFYA	ZHX2
NFYB	TAF6
NFYB	TBP
NFYB	TP53
NFYC	SMAD2
NFYC	TAF6
NFYC	TBP
NFYC	TRIM27
NFYC	ZDHHC17
NLE1	WDR5
NLRP1	PYCARD
NOL3	TFPT
NOL3	TP53
NOL3	XPNPEP1
NONO	NR2C1
NONO	NUP133
NONO	PMS1
NONO	PXN
NONO	RXRA
NONO	SMARCA2
NONO	SMARCA4
NONO	SMARCC1
NONO	SMARCD1
NONO	TCERG1
NONO	TP63
NONO	TRIM24
NONO	TSG101
NONO	U2AF2
NONO	ZC3H11A
NONO	ZNRD1
NOVA1	SMARCC2
NPM1	PA2G4
NPM1	PARP1
NPM1	POLR2E
NPM1	PPID
NPM1	PPIL4
NPM1	PRPF6
NPM1	PSMD12
NPM1	PSMD4
NPM1	PTBP1
NPM1	RBBP4
NPM1	RELA
NPM1	RPS4X
NPM1	SIRT1
NPM1	SMARCA4
NPM1	TCERG1
NPM1	TFAP2A
NPM1	TP53
NPM1	TPR
NPM1	TRIM28
NPM1	TRRAP
NPM1	USF2
NPM1	XPO1
NPM1	YBX1
NPM1	YY1
NR1H2	NRIP1
NR1H2	RXRA
NR1H2	RXRB
NR1H2	SIRT1
NR1H2	SMARCA4
NR1H2	VDR
NR1H2	YY1
NR2C1	NR2C2
NR2C1	NRIP1
NR2C1	PSPC1
NR2C1	RBBP4
NR2C1	RBBP7
NR2C1	RBM39
NR2C1	SFPQ
NR2C1	SMARCA4
NR2C1	TRIM28
NR2C2	PDLIM7
NR2C2	RBBP4
NR2C2	RXRB
NR2C2	TRIM28
NR2F2	PHB2
NR2F2	TFAP4
NR2F6	RXRA
NR2F6	TFAP4
NRF1	PARP1
NRIP1	RXRA
NRIP1	RXRB
NRIP1	THRA
NRIP1	VDR
NRIP1	XPO1
NUP133	POLE4
NUP133	SEH1L
OFD1	RUVBL1
OFD1	TRRAP
OTX1	RBPMS
PA2G4	RNF20
PA2G4	YBX1
PABPC4	PHLDA1
PABPC4	PSMD4
PABPC4	PUF60
PABPC4	TERF2
PABPC4	TSG101
PABPC4	YBX1
PABPN1	SMARCA4
PABPN1	TNPO1
PARP1	PIAS2
PARP1	PIAS4
PARP1	PSMD4
PARP1	RBM14
PARP1	RELA
PARP1	RXRA
PARP1	SMARCA1
PARP1	TAF13
PARP1	TCEA2
PARP1	TCF3
PARP1	TCF7L2
PARP1	THRA
PARP1	TOP2B
PARP1	TP53
PARP1	TRIM28
PARP1	TRIM29
PARP1	XRCC5
PARP1	ZBTB9
PAX7	WDR5
PAX9	ZNF580
PAXIP1	PCBP2
PAXIP1	PHB2
PAXIP1	PIAS2
PAXIP1	PPP1R12A
PAXIP1	RBBP7
PAXIP1	RBM25
PAXIP1	RPA1
PAXIP1	SMAD2
PAXIP1	SMC3
PAXIP1	SSB
PAXIP1	SUGT1
PAXIP1	TP53BP1
PAXIP1	WDHD1
PAXIP1	WDR18
PAXIP1	WDR48
PAXIP1	XRCC6
PAXIP1	YBX1
PBX1	SMARCA4
PCBD1	RBL2
PCBD1	SAP30
PCBD1	SMARCD1
PCBD1	TRIM5
PCBD1	WWP1
PCBD1	ZNF195
PCBP2	PTBP1
PCBP2	RUVBL1
PCBP2	RUVBL2
PCBP2	SF3B2
PCBP2	WDR77
PCBP2	YBX1
PCBP4	RNF138
PCGF6	PEX10
PCGF6	SS18L1
PDLIM3	RANBP2
PDLIM7	TP53
PDLIM7	TRADD
PDLIM7	ZMYND11
PDRG1	RUVBL2
PEA15	PLD1
PHB2	PTMA
PHB2	RELA
PHB2	RUNX3
PHB2	TFE3
PHB2	UPF2
PHF11	PIAS4
PHF12	SAP30
PHF8	RBPJ
PHF8	TAF1
PHF8	WDR5
PHLDA3	PRPF6
PHLDA3	SAMHD1
PIAS2	PIAS4
PIAS2	SMAD4
PIAS2	STAT4
PIAS2	TP53
PIAS2	TRIM27
PIAS3	RELA
PIAS3	SKIL
PIAS3	SMAD2
PIAS3	SMAD4
PIAS3	TBP
PIAS3	TRIM27
PIAS3	TRIM32
PIAS3	ZFHX3
PIAS4	SKIL
PIAS4	SMAD2
PIAS4	SMAD4
PIAS4	TCERG1
PIAS4	TCF4
PIAS4	TP53
PIAS4	TRAF7
PIAS4	TRIM27
PIAS4	XRCC5
PIAS4	XRCC6
PIR	SUGT1
PLEKHA5	SPTBN1
PMS1	RNF20
PMS1	SBF2
PMS1	SMC3
PNO1	RPS23
PNO1	RPS3
PNO1	WDR3
POLR2E	RUVBL1
POLR2E	RUVBL2
POLR2E	TAF15
POLR2E	TRIM28
POLR2E	TRIM29
POLR2E	XRCC5
POLR2G	PRKRA
POLR2G	TAF15
POLR2G	WDR48
POU2AF1	SMAD2
POU2F2	RXRA
POU2F2	TBP
POU2F2	XRCC6
PPARD	PRMT3
PPARD	RELA
PPARD	RXRA
PPARD	RXRB
PPID	RPS3
PPID	SMURF2
PPID	XRCC6
PPIE	SF3A2
PPIL4	SMAD5
PPP1R12A	RPA1
PQBP1	SF3A2
PQBP1	WDR77
PQBP1	ZC3H11A
PRDM2	TP53
PRICKLE2	SMURF2
PRKRA	RABEPK
PRKRA	SHC1
PRKRA	SYNCRIP
PRKRA	TP53
PRMT3	SAMHD1
PRMT3	TP53
PRMT3	XRCC5
PRPF19	PRPF4
PRPF19	PRPF6
PRPF19	RBM10
PRPF19	RBM14
PRPF19	RBM25
PRPF19	RBM39
PRPF19	RBM5
PRPF19	SF3A2
PRPF19	U2AF2
PRPF4	SNRPB2
PRPF6	RBM14
PRPF6	SF3A2
PRPF6	SMARCA2
PRPF6	U2AF2
PRRX1	RBL2
PSMD11	PSMD4
PSMD11	PSMD6
PSMD11	SMAD2
PSMD11	SMAD4
PSMD11	SMAD5
PSMD11	TP53
PSMD4	PSMD6
PSMD4	RANBP2
PSMD4	RPA1
PSMD4	RPS23
PSMD4	RPS3
PSMD4	SRP72
PSMD4	SSB
PSMD4	STUB1
PSMD4	SYNCRIP
PSMD4	TP53
PSMD4	TRIM25
PSMD4	TRIM28
PSMD4	YBX1
PSMD4	ZC3HAV1
PSMD7	SYNCRIP
PSMD7	TRIM5
PSPC1	RAD21
PSPC1	SMAD2
PSPC1	TCERG1
PTBP1	PXN
PTBP1	RBM10
PTBP1	RORA
PTBP1	SFPQ
PTBP1	YBX1
PTBP2	PUF60
PTBP2	RBM10
PTMA	TERF2
PTMA	TNPO1
PUF60	SF3A2
PUF60	SF3B1
PUF60	SSB
PUF60	SYNCRIP
PUF60	U2AF2
PURA	YBX1
PURA	ZNF638
PWP2	WDR36
PXN	RPS23
PXN	SFPQ
PXN	XRCC5
PXN	XRCC6
PXN	YBX1
RAD21	RPS3
RAD21	RPS4X
RAD21	SFPQ
RAD21	SYNCRIP
RAD21	TOP3A
RAD21	TPR
RAD21	YBX1
RAD51	RECQL4
RAD51	RPA1
RAD51	TP53
RAE1	RBM8A
RAE1	SEH1L
RAE1	SF3A2
RAE1	SMC3
RAE1	SMU1
RAE1	ZC3HAV1
RANBP2	SMU1
RANBP2	TAF1
RANBP2	TOP2B
RBBP4	RBL2
RBBP4	SAP30
RBBP4	SMARCA1
RBBP4	SMARCA2
RBBP4	SMARCA4
RBBP4	SP3
RBBP4	TAF6
RBBP4	XRCC6
RBBP4	ZEB2
RBBP6	YBX1
RBBP7	SMARCA2
RBBP7	TAF6
RBBP7	ZEB2
RBL2	SIRT1
RBL2	SMARCA4
RBL2	TAF1
RBL2	TFDP1
RBL2	XBP1
RBM10	SF3A2
RBM10	SF3B4
RBM10	U2AF2
RBM12	UBE4B
RBM14	RBM25
RBM14	RBM39
RBM14	RBM8A
RBM14	RUNX1
RBM14	SF3B1
RBM14	SMARCC2
RBM14	SSRP1
RBM14	TOP2B
RBM14	XRCC5
RBM25	RBM39
RBM25	SF3A2
RBM25	SIRT1
RBM28	RRP12
RBM39	RNF113A
RBM39	RPS3
RBM39	SF3A2
RBM39	SF3B1
RBM39	SMU1
RBM39	TCF3
RBM39	TOE1
RBM39	U2AF2
RBM39	XRCC5
RBM39	XRCC6
RBM39	ZCCHC10
RBM5	SF3A2
RBM5	U2AF2
RBM5	WDR77
RBM8A	RUVBL1
RBM8A	RUVBL2
RBM8A	SF3B2
RBM8A	SMG7
RBM8A	SPTBN1
RBM8A	TOE1
RBM8A	UPF2
RBM8A	ZFP36L1
RBPJ	RUNX3
RBPJ	SMARCA4
RBPMS	ZNF581
RBX1	RFWD2
RBX1	TRIM27
RC3H1	ZC3H7B
RCHY1	RFWD2
RCHY1	TP53
RCHY1	TP63
RECQL4	SIRT1
REL	TBP
REL	UACA
RELA	RPS3
RELA	RUVBL1
RELA	RUVBL2
RELA	RXRA
RELA	SFPQ
RELA	SIRT1
RELA	SMAD4
RELA	SP3
RELA	STUB1
RELA	TAF1
RELA	TAF6
RELA	TAF9
RELA	TBL1X
RELA	TBP
RELA	TP63
RELA	USF2
RELA	ZBTB7A
RELA	ZBTB7B
REST	SMARCA4
REST	SMARCC2
REST	SMARCE1
REST	TBP
REST	TERF2
RFWD2	TP53
RFWD2	WDR5
RNF113A	SF3B2
RNF113A	TERF2
RNF138	SMAD4
RNF138	TAF9
RNF138	TCF4
RNF14	SMAD4
RNF14	SMURF2
RNF14	TNFAIP3
RNF14	VDR
RNF141	TRIM24
RNF146	XRCC5
RNF146	XRCC6
RNF20	RNF40
RNF20	SMURF2
RNF20	TP53
RNF40	TERF2
RNF7	WSB1
RORA	RUVBL1
RPA1	SMARCA4
RPA1	TCEA2
RPA1	TCF3
RPA1	TOP3A
RPA1	TP53
RPA1	TP53BP1
RPA1	XPC
RPS23	RPS3
RPS23	RPS4X
RPS3	RPS4X
RPS3	TRADD
RPS4X	RUVBL2
RRP12	YBX1
RUNX1	SMAD2
RUNX1	SMAD5
RUNX1	SMARCA4
RUNX1	SMARCC1
RUNX1	STUB1
RUNX1	TCF3
RUNX1	TRIM33
RUNX1	VDR
RUNX3	SMAD2
RUNX3	SMAD5
RUNX3	SMURF2
RUNX3	SP110
RUNX3	TCF7L2
RUNX3	VDR
RUVBL1	SHC1
RUVBL1	SMARCA1
RUVBL1	SMARCA2
RUVBL1	SMARCC2
RUVBL1	TAF9
RUVBL1	TBP
RUVBL2	SHC1
RUVBL2	TAF9
RUVBL2	TBP
RUVBL2	TRIM28
RXRA	SFPQ
RXRA	SMAD2
RXRA	SMARCA4
RXRA	TBP
RXRA	THRA
RXRA	TRIM24
RXRA	TRIM32
RXRA	VDR
RXRB	VDR
SAFB	SMU1
SAFB	TAF15
SAFB	TCF3
SAFB	TP53
SAFB	TP53BP1
SAFB	TP63
SAFB	U2AF2
SAMHD1	TRMT1
SAMHD1	XRCC5
SAMHD1	XRCC6
SAP30	SMARCA2
SAP30	TAF6
SAP30	YY1
SAP30	ZNF395
SARDH	TRAF4
SART3	SRBD1
SART3	TPR
SF3A2	SF3B1
SF3A2	SF3B2
SF3A2	SF3B4
SF3A2	SMURF2
SF3A2	SNRPB2
SF3A2	SYNCRIP
SF3A2	TCERG1
SF3A2	U2AF2
SF3A2	YBX1
SF3A2	ZNF207
SF3B1	SF3B2
SF3B1	SF3B4
SF3B1	SFPQ
SF3B1	SMAD5
SF3B1	SNRPB2
SF3B1	SSRP1
SF3B1	TCERG1
SF3B1	TOX4
SF3B1	TRIM24
SF3B2	SF3B4
SF3B2	SNRPB2
SF3B2	TCERG1
SF3B2	TERF2
SF3B2	TOE1
SF3B2	TOX4
SF3B2	TRIM24
