TF	genetarget
ATF1	THRAP3
ATF1	TIPRL
ATF1	TP53INP1
ATF1	UPF1
ATF1	WBSCR16
ATF1	ZCCHC4
ATF1	ZFPL1
ATF1	HOXC5
ATF1	PTPN1
ATF1	TELO2
ATF1	TMED10
ATF1	MGAT4B
ATF1	SYNPO
ATF1	PLEKHG4
ATF1	DDX47
ATF1	ATP6V1H
ATF1	ZNF574
ATF1	CENPT
ATF1	ULBP2
ATF1	FITM2
ATF1	ZNF746
ATF1	TMEM64
ATF1	DHRSX
ATF1	HECTD4
ATF1	AGXT
ATF1	BRCA1
ATF1	CGA
ATF1	CSH1
ATF1	EGR1
ATF1	HGF
ATF1	IL1B
ATF1	LDHA
ATF1	NR3C2
ATF1	NOS1
ATF1	NTRK3
ATF1	OXT
ATF1	PCSK1
ATF1	PLAUR
ATF1	POLB
ATF1	POLR2A
ATF1	PPP2R4
ATF1	PTGS2
ATF1	SLC20A1
ATF1	TEAD1
ATF1	TH
ATF1	UBE2I
ATF1	UCP1
ATF1	VIPR1
ATF1	ST3GAL5
ATF1	EXOC3
ATF1	GOLPH3
ATF1	CCDC65
ATF1	USP7
ASXL1	AQP1
ASXL1	COX7A1
ASXL1	E2F1
ASXL1	E2F3
ASXL1	FBXO5
ASXL1	HIGD1B
ASXL1	HMMR
ASXL1	HSPB2
ASXL1	KLHDC1
ASXL1	REEP5
ASXL1	SAAL1
ASXL1	TMEM189-UBE2V1
ASXL1	TMEM68
ASXL1	ZNF44
ATXN7	ASXL2
ATXN7	PPP3R1
BAZ2B	ACP1
BAZ2B	ADRM1
BAZ2B	AHCY
BAZ2B	AP2S1
BAZ2B	BUB3
BAZ2B	METTL2A
BAZ2B	MRPL37
BAZ2B	MRPL4
BAZ2B	MRPS34
BAZ2B	MRTO4
BAZ2B	NFIA
BAZ2B	NOLC1
BAZ2B	NUP160
BAZ2B	PGK1
BAZ2B	PHB
BAZ2B	PNO1
BAZ2B	PSMA7
BAZ2B	PSMD3
BAZ2B	RAN
BAZ2B	RCC1
BAZ2B	REEP5
BAZ2B	RFC2
BAZ2B	RNF126
BAZ2B	SNRPB
BAZ2B	SRM
BAZ2B	TFAM
BAZ2B	THRAP3
BAZ2B	TMEM189-UBE2V1
BAZ2B	WBSCR16
BAZ2B	WDR77
BAZ2B	YBX1
BAZ2B	ZBTB4
BAZ2B	ZNF207
ATAD3B	AHCY
ATAD3B	BAK1
ATAD3B	BCL2L12
ATAD3B	C16orf59
ATAD3B	C2orf49
ATAD3B	CDK2
ATAD3B	CTSK
ATAD3B	EXOSC3
ATAD3B	GTF2F1
ATAD3B	IGFL1
ATAD3B	LMNB2
ATAD3B	MRPL4
ATAD3B	MRPS34
ATAD3B	NLE1
ATAD3B	NME1-NME2
ATAD3B	NOLC1
ATAD3B	OGFOD2
ATAD3B	OTUB1
ATAD3B	PA2G4
ATAD3B	PKMYT1
ATAD3B	PPM1G
ATAD3B	PPP5C
ATAD3B	PRMT1
ATAD3B	RANGAP1
ATAD3B	RCC1
ATAD3B	RFC5
ATAD3B	RNF26
ATAD3B	RRP12
ATAD3B	RUVBL2
ATAD3B	SENP3
ATAD3B	SFTPC
ATAD3B	SLC25A10
ATAD3B	SRM
ATAD3B	TBL3
ATAD3B	TRAF4
ATAD3B	UBE2I
ATAD3B	UCK2
ATAD3B	WDR77
ATAD3B	XPO5
ATAD3B	ZDHHC20
ATAD3B	ZNF593
ARMC1	ZNF566
ASPH	GTF3C2
ASPH	HSPD1
ASPH	PGRMC1
ASPH	TXNDC17
ATF3	C1QBP
ATF3	FOXN3
ATF3	COX7A2
ATF3	TIMM8A
ATF3	EPHX1
ATF3	ERCC1
ATF3	FDPS
ATF3	NFE2L1
ATF3	PCBP2
ATF3	AURKA
ATF3	YWHAZ
ATF3	TAF15
ATF3	CUL3
ATF3	NDST2
ATF3	RGS9
ATF3	DYRK4
ATF3	SYT7
ATF3	RCL1
ATF3	EIF1B
ATF3	ZER1
ATF3	MTX2
ATF3	GLCE
ATF3	HUNK
ATF3	CDKL3
ATF3	FLVCR2
ATF3	NCKAP5L
ATF3	CDH23
ATF3	NARFL
ATF3	USP38
ATF3	ZNF625
ATF3	MFSD12
ATF3	ZNF746
ATF3	TMTC2
ATF3	ASNS
ATF3	ATF3
ATF3	CD69
ATF3	CGA
ATF3	AK4
ATAD2	ACTL6A
ATAD2	ACTR5
ATAD2	ATAD5
ATAD2	AURKA
ATAD2	BRCA1
ATAD2	BUB1
ATAD2	BUB3
ATAD2	C18orf54
ATAD2	C2orf49
ATAD2	C5orf34
ATAD2	CCNB2
ATAD2	CCNE2
ATAD2	CDK2
ATAD2	CENPH
ATAD2	CKAP5
ATAD2	CSTF2
ATAD2	DBR1
ATAD2	DEPDC1
ATAD2	ECT2
ATAD2	FBXO5
ATAD2	GMNN
ATAD2	HELLS
ATAD2	HMMR
ATAD2	HS2ST1
ATAD2	KIF14
ATAD2	KLHL7
ATAD2	KNTC1
ATAD2	LIN9
ATAD2	MANEA
ATAD2	MED30
ATAD2	MKI67
ATAD2	MSH2
ATAD2	NUP155
ATAD2	NUP160
ATAD2	PAICS
ATAD2	PIF1
ATAD2	PLK4
ATAD2	PSRC1
ATAD2	RFC4
ATAD2	RFC5
ATAD2	SAAL1
ATAD2	SEC16A
ATAD2	SGOL2
ATAD2	SMARCC1
ATAD2	SMC2
ATAD2	TTF2
ATAD2	UHRF1
ATAD2	WDHD1
ATAD2	XPO5
ASCC3	FBXO5
ASCC3	GNG13
ASH1L	ACLY
ASH1L	AP2S1
ASH1L	ARHGDIA
ASH1L	C3orf17
ASH1L	CLK4
ASH1L	CRTC3
ASH1L	DYRK1A
ASH1L	FOXN3
ASH1L	KCNH2
ASH1L	KLHDC1
ASH1L	LHX3
ASH1L	LRRC59
ASH1L	MAPK1IP1L
ASH1L	MED14
ASH1L	MEF2A
ASH1L	MGAT2
ASH1L	MGEA5
ASH1L	ORMDL2
ASH1L	PPP1CA
ASH1L	RANGAP1
ASH1L	RNF26
ASH1L	RPL14
ASH1L	SETX
ASH1L	SPG20
ASH1L	UBR1
ASH1L	UBR2
ASH1L	ZNF207
ASH1L	ZNF44
ASH1L	TGFB1
BAZ2A	TMCC1
BBX	NLK
BBX	NPTN
BBX	PPP3R1
BBX	SENP6
BBX	TMF1
BBX	ZCCHC7
BIN2	CD52
BIN2	FGD2
BIN2	HMHA1
BIN2	ITGB2
BIN2	NCKAP1L
BIN2	PRKDC
BIN2	SLA
BIN2	TMC8
BIN2	TNFSF14
BRAP	EXOSC3
BRAP	ISY1
BRAP	PSMA7
BRAP	RNF6
BRAP	TIPRL
BRD2	CBX4
BRD2	YY1
BRF1	CRYBB3
BRF1	MBD6
BRF1	MYCN
BRF1	ROCK1
BRF1	TOX3
C20orf194	AIFM3
C20orf194	AK2
C20orf194	CDC20
C20orf194	CDCA5
C20orf194	CFLAR
C20orf194	F12
C20orf194	FAM107A
C20orf194	GNG13
C20orf194	KIF4A
C20orf194	PTTG1
C20orf194	RNF146
C20orf194	SORBS1
C20orf194	TIMELESS
C20orf194	WDFY3
BMP8A	AVPR1B
BMP8A	PACS1
BOP1	ADRM1
BOP1	AHCY
BOP1	AHSA1
BOP1	BCL2L12
BOP1	BIRC5
BOP1	BNIP1
BOP1	BYSL
BOP1	C1QBP
BOP1	C9orf114
BOP1	CCDC86
BOP1	CCT7
BOP1	CDC123
BOP1	DDX51
BOP1	EDC4
BOP1	GPS1
BOP1	MAPKAP1
BOP1	MPP6
BOP1	MRPL11
BOP1	MRPL12
BOP1	MRPL37
BOP1	MRPL4
BOP1	MRPS16
BOP1	MRPS17
BOP1	MRPS34
BOP1	MYO19
BOP1	NME1-NME2
BOP1	NOLC1
BOP1	NUP155
BOP1	PHB
BOP1	PIGU
BOP1	POLE3
BOP1	POP7
BOP1	PRMT1
BOP1	PSMD3
BOP1	RAN
BOP1	RFC2
BOP1	RRP12
BOP1	RUVBL2
BOP1	SF3B3
BOP1	SRM
BOP1	TIMM50
BOP1	TOMM70A
BOP1	UCK2
BOP1	WDR77
BOP1	ZNF593
BRD4	ABCC3
BRD4	ALPI
BRD4	ANKRD34C
BRD4	ARHGAP30
BRD4	BRD2
BRD4	CAPZB
BRD4	CNTROB
BRD4	DDX51
BRD4	DMPK
BRD4	DNAJC4
BRD4	FOLR2
BRD4	H1FX
BRD4	HOXB8
BRD4	JSRP1
BRD4	MBD6
BRD4	MPPE1
BRD4	MYO18A
BRD4	NCF1
BRD4	NYX
BRD4	POMZP3
BRD4	PWWP2B
BRD4	ROCK1
BRD4	SIPA1L3
BRD4	STX5
BRD4	SULT1C2
BRD4	TMCC1
BRD4	ZDHHC1
BRD4	ZNF414
C2orf44	AURKA
C2orf44	C9orf40
C2orf44	RFC4
C2orf44	SEC16A
BRPF3	AFF3
BRPF3	ASH1L
BRPF3	CYP8B1
BRPF3	GABRA4
BRPF3	IGFL1
BRPF3	LHX3
BRPF3	MED14
BRPF3	PCDH9
BRPF3	SOX17
BRPF3	VIPR2
BRPF3	ZNF414
BRPF3	ZW10
BRIP1	ACAT2
BRIP1	BUB1
BRIP1	CCNE2
BRIP1	CDK2
BRIP1	DEPDC1
BRIP1	DIAPH3
BRIP1	FBXO5
BRIP1	HELLS
BRIP1	KIF14
BRIP1	MANEA
BRIP1	MCM8
BRIP1	MKI67
BRIP1	MPV17L
BRIP1	MSH2
BRIP1	NUP160
BRIP1	PGM5
BRIP1	PLK4
BRIP1	RAD18
BRIP1	SGOL2
BRIP1	TTF2
BRIP1	WDHD1
BRIP1	BARD1
BUB3	ACAT2
BUB3	ACP1
BUB3	AK2
BUB3	AQP1
BUB3	ASNS
BUB3	ATP1B1
BUB3	BID
BUB3	BIRC5
BUB3	C9orf40
BUB3	CBX5
BUB3	CCNB2
BUB3	CDC123
BUB3	CDCA5
BUB3	CDK2
BUB3	CEP78
BUB3	CFLAR
BUB3	CHEK2
BUB3	CNPY2
BUB3	CSTF2
BUB3	DCTN5
BUB3	DEPDC1
BUB3	DGUOK
BUB3	DTYMK
BUB3	E2F3
BUB3	EBNA1BP2
BUB3	ECT2
BUB3	EDC3
BUB3	EEF1E1
BUB3	EXOSC3
BUB3	FAM78B
BUB3	FBXO5
BUB3	GNB1L
BUB3	GORASP2
BUB3	GSG2
BUB3	GTF3C2
BUB3	HDAC8
BUB3	HELLS
BUB3	HMGN1
BUB3	HMGN2
BUB3	HMMR
BUB3	HPRT1
BUB3	HSPA14
BUB3	HSPD1
BUB3	KIF14
BUB3	LRRC59
BUB3	MGAT2
BUB3	MPP6
BUB3	MRTO4
BUB3	MSH2
BUB3	NFIA
BUB3	NME1-NME2
BUB3	NOLC1
BUB3	NSUN2
BUB3	OTUB1
BUB3	PAICS
BUB3	POLR3C
BUB3	PPP2R1B
BUB3	PRDX1
BUB3	PTGES3
BUB3	RAI2
BUB3	RAN
BUB3	RANGAP1
BUB3	RARS
BUB3	RBMX
BUB3	RCC1
BUB3	REEP5
BUB3	RFC2
BUB3	RFC5
BUB3	SEC61B
BUB3	SLBP
BUB3	SNRPB
BUB3	SRP72
BUB3	TARDBP
