Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
KNTC1_prot	KNTC1	prot	ATAD5_mrna;BRCA1_mrna;BUB1_mrna;CDK2_mrna;CDT1_mrna;COX7A1_mrna;DES_mrna;ECT2_mrna;HELLS_mrna;HMMR_mrna;KIF14_mrna;KIF4A_mrna;MSH2_mrna;PGM5_mrna;POLA1_mrna;PRKDC_mrna;RFC4_mrna;RFC5_mrna;SEC16A_mrna;SGOL2_mrna;SMC2_mrna;UHRF1_mrna;WDHD1_mrna;ZNF326_mrna;PIAS4_prot;VARS_prot	26
KPNA1_prot	KPNA1	prot	ABL2_mrna;ATF1_mrna;C18orf25_mrna;C5orf22_mrna;CAB39_mrna;DBT_mrna;DCUN1D1_mrna;EIF4G1_mrna;EXOC5_mrna;FBXO38_mrna;FKBP15_mrna;FOXJ3_mrna;FOXN2_mrna;KBTBD2_mrna;MAPKAP1_mrna;NMD3_mrna;PHTF2_mrna;PIP4K2B_mrna;PRICKLE3_mrna;RAB6A_mrna;RABL3_mrna;SCYL2_mrna;SLC40A1_mrna;TBC1D20_mrna;TMEM64_mrna;YWHAZ_mrna;ZDHHC20_mrna;ZFAND3_mrna;CUL4B_prot;DDX21_prot;HDAC1_prot;HDAC2_prot;KPNA3_prot;NPM1_prot;PARP1_prot;PRPF19_prot;RANBP2_prot;TAF9_prot;TP53BP1_prot	39
KPNA3_prot	KPNA3	prot	DLG1_mrna;NUDCD3_mrna;PPTC7_mrna;QKI_mrna;SLAIN2_mrna;TAF5L_mrna;ERCC3_prot;GTF2H1_prot;HDAC1_prot;KPNA1_prot;MCM4_prot;MCM6_prot;MKL1_prot;NPM1_prot;NUTF2_prot;PARP1_prot;RANBP2_prot;RELA_prot;SIRT1_prot;TP53BP1_prot;ZMYND11_prot	21
KPNA4_prot	KPNA4	prot	ARL8B_mrna;C5orf22_mrna;C6orf106_mrna;CAB39_mrna;EIF5_mrna;EXOC5_mrna;FAM49B_mrna;FBXO38_mrna;FOXJ3_mrna;GOPC_mrna;HIPK3_mrna;KBTBD2_mrna;KIF5B_mrna;MAPKAP1_mrna;NMD3_mrna;PHTF2_mrna;PPP6C_mrna;PPTC7_mrna;RHEB_mrna;SLAIN2_mrna;TSC22D2_mrna;ZFAND3_mrna;CUL4B_prot;HDAC1_prot;RANBP2_prot;TP53_prot	26
KRI1_mrna	KRI1	mrna	RAD21_prot	1
KRIT1_prot	KRIT1	prot	PTGES2_mrna;ZNF12_mrna;CCM2_prot;RCHY1_prot	4
KRR1_mrna	KRR1	mrna	ANKRD17_prot;SSB_prot;TAF5L_prot;WDHD1_prot	4
KRR1_prot	KRR1	prot	ANKRD17_mrna;EIF3M_mrna;HNRNPA2B1_mrna;LUC7L2_mrna;SSB_mrna;TAF5L_mrna;WDHD1_mrna;YEATS4_mrna;ZNF277_mrna;CBX8_prot;H2AFX_prot;PAXIP1_prot;TNFAIP3_prot;ZBP1_prot;ZC3HAV1_prot	15
KRT16_mrna	KRT16	mrna	EP300_prot;JUN_prot;SP3_prot;TFAP2A_prot	4
KRT17_mrna	KRT17	mrna	TFAP2A_prot;TRIM29_prot	2
KRT17_prot	KRT17	prot	ILF3_prot;KRT8_prot;PA2G4_prot;SHC1_prot	4
KRT19_mrna	KRT19	mrna	AR_prot;ESR1_prot;TACSTD2_prot	3
KRT19_prot	KRT19	prot	AGR2_mrna;CD24_mrna;CDH1_mrna;TACSTD2_mrna;DMD_prot;ESR1_prot;HGS_prot;KRT8_prot;PLEKHA5_prot;ZNF638_prot	10
KRT1_prot	KRT1	prot	CCNA2_prot;COPS6_prot;CUL4B_prot;ESR1_prot;SHC1_prot;TANK_prot	6
KRT7_prot	KRT7	prot	ADK_mrna;ARR3_mrna;BAIAP2_mrna;CHERP_mrna;CLCNKB_mrna;DNAJA4_mrna;E2F4_mrna;EPHB1_mrna;FHIT_mrna;GALNT14_mrna;GRK5_mrna;IL17D_mrna;KLC3_mrna;PDE5A_mrna;PTCHD2_mrna;SLC34A3_mrna;SRCAP_mrna;SYT12_mrna;TMC2_mrna;TTC13_mrna;WNT6_mrna;ZNF277_mrna	22
KRT8_prot	KRT8	prot	DSP_mrna;DMD_prot;ESR1_prot;KRT17_prot;KRT19_prot;RCHY1_prot	6
KTN1_mrna	KTN1	mrna	ARID1B_prot;E2F4_prot;IGHMBP2_prot;ZBTB20_prot	4
L1CAM_mrna	L1CAM	mrna	FOXA1_prot;PAXIP1_prot;TFAP2A_prot	3
LACE1_mrna	LACE1	mrna	JUN_prot	1
LAMA3_mrna	LAMA3	mrna	EP300_prot	1
LAMA4_prot	LAMA4	prot	CALD1_mrna;CCDC80_mrna;COL12A1_mrna;COL4A1_mrna;HMCN1_mrna;JAM3_mrna;MCAM_mrna;SPARC_mrna;COPS6_prot;LGALS9_prot;TP53_prot	11
LAMB1_prot	LAMB1	prot	LGALS9_prot;POLR2E_prot;TGFB1_prot	3
LAMB2_mrna	LAMB2	mrna	SMC3_prot	1
LAMP1_mrna	LAMP1	mrna	CANX_prot;HOMER3_prot;SHC1_prot;ZBTB7A_prot	4
LANCL1_mrna	LANCL1	mrna	FBXL17_prot	1
LANCL1_prot	LANCL1	prot	C5orf22_mrna;COPS8_mrna;MKRN2_mrna;SIRT1_prot	4
LARP1_prot	LARP1	prot	CBX4_mrna;EARS2_mrna;EIF4G1_mrna;POMZP3_mrna;SENP3_mrna;SF3A1_mrna;CUL4B_prot;ECT2_prot;PAXIP1_prot;RPS3_prot;RPS4X_prot;SART3_prot;TSG101_prot;YBX1_prot;ZC3HAV1_prot	15
LARP4_prot	LARP4	prot	ASXL2_mrna;CDC5L_mrna;CSNK1A1_mrna;EXOC5_mrna;FOXJ3_mrna;GOPC_mrna;KIF5B_mrna;MAPKAP1_mrna;MCM3AP_mrna;NUP160_mrna;PHTF2_mrna;PSPC1_mrna;PTGES2_mrna;RHEB_mrna;SCYL2_mrna;SLAIN2_mrna;USP10_mrna;COPS6_prot	18
LARP7_mrna	LARP7	mrna	ZBTB7A_prot	1
LARP7_prot	LARP7	prot	HDAC1_prot;HEXIM1_prot;MTA2_prot;PAXIP1_prot;SART3_prot;SPAG9_prot;TBP_prot;TERF2_prot;TRIM28_prot;U2AF2_prot;YBX1_prot	11
LARS2_mrna	LARS2	mrna	ANKRD39_prot;DARS2_prot;MRPS12_prot;PSMD6_prot;RBM28_prot;SMARCC1_prot;TBP_prot;WDR18_prot	8
LARS_mrna	LARS	mrna	MSH2_prot	1
LAS1L_mrna	LAS1L	mrna	CTNND1_prot;JUND_prot;POLR2G_prot;PRPF19_prot;RUVBL2_prot;SSRP1_prot;TRMT1_prot	7
LAYN_mrna	LAYN	mrna	ADARB1_prot;PWWP2B_prot;TRIM5_prot	3
LCMT1_mrna	LCMT1	mrna	ZBTB7A_prot	1
LDHA_mrna	LDHA	mrna	ATF1_prot;CREB1_prot;JUN_prot	3
LDHB_mrna	LDHB	mrna	BHLHE40_prot;USF2_prot	2
LDOC1L_mrna	LDOC1L	mrna	E2F4_prot	1
LEFTY1_mrna	LEFTY1	mrna	USF2_prot	1
LEPR_mrna	LEPR	mrna	DAB2_prot;IRF1_prot;RAE1_prot;TBP_prot	4
LGALS1_mrna	LGALS1	mrna	IRF1_prot	1
LGALS3_mrna	LGALS3	mrna	CEBPB_prot;JUN_prot;RUNX1_prot;TP53_prot	4
LGALS9_prot	LGALS9	prot	BIN2_mrna;CD52_mrna;FGD2_mrna;MS4A7_mrna;PARP14_mrna;SLA_mrna;TNFRSF1B_mrna;LAMA4_prot;LAMB1_prot;LNPEP_prot	10
LGI4_mrna	LGI4	mrna	ADARB1_prot	1
LHFPL2_mrna	LHFPL2	mrna	MAZ_prot	1
LHX6_mrna	LHX6	mrna	TACSTD2_prot	1
LIAS_mrna	LIAS	mrna	CHD2_prot;MRPS12_prot;SAP30_prot	3
LIFR_mrna	LIFR	mrna	ZBTB20_prot	1
LIG1_prot	LIG1	prot	ACD_mrna;AIFM3_mrna;AK2_mrna;BUB3_mrna;C16orf59_mrna;C2orf49_mrna;CBX2_mrna;CBX5_mrna;CCNB2_mrna;CDC20_mrna;CDCA5_mrna;CENPM_mrna;CFLAR_mrna;CHEK2_mrna;COPS7B_mrna;CSTF2_mrna;DTYMK_mrna;DUT_mrna;FANCG_mrna;GINS2_mrna;KIF4A_mrna;LMNB2_mrna;MAPKAP1_mrna;NLE1_mrna;NME1-NME2_mrna;NR2C2AP_mrna;NUP93_mrna;POLQ_mrna;PSMC3IP_mrna;PTTG1_mrna;RUVBL2_mrna;SLC25A15_mrna;SMARCC1_mrna;SNRPB_mrna;STX5_mrna;TIMELESS_mrna;TRAIP_mrna;PRMT3_prot	38
LIG3_mrna	LIG3	mrna	CCNT2_prot;DARS2_prot;ETS1_prot;NONO_prot;SMARCA4_prot;TP53_prot;WDR18_prot;WDR4_prot	8
LIMD1_prot	LIMD1	prot	DNAJA4_mrna;EPSTI1_mrna;EXOC3L2_mrna;FASTK_mrna;FHAD1_mrna;GRK5_mrna;MPV17L_mrna;PDE5A_mrna;PIP5K1B_mrna;PLXDC1_mrna;POMGNT1_mrna;SYNPO_mrna;LPXN_prot;PDLIM7_prot;ZFYVE1_prot	15
LIN54_mrna	LIN54	mrna	E2F4_prot	1
LIN7B_mrna	LIN7B	mrna	MAZ_prot;ZBTB7A_prot	2
LIN9_mrna	LIN9	mrna	ATAD2_prot;EP300_prot;IPO11_prot;KLHL7_prot;WDHD1_prot;ZBTB7A_prot	6
LINGO1_mrna	LINGO1	mrna	UBTF_prot;ZNF143_prot	2
LIPA_mrna	LIPA	mrna	AR_prot;HDAC8_prot;UBTF_prot	3
LMAN1_mrna	LMAN1	mrna	ADARB1_prot;DDX42_prot;DDX51_prot;POLL_prot;PWP2_prot;ZNF146_prot	6
LMAN2L_mrna	LMAN2L	mrna	ELK1_prot	1
LMAN2_prot	LMAN2	prot	MESDC2_mrna;HEATR3_prot	2
LMBR1L_mrna	LMBR1L	mrna	FOSL2_prot	1
LMBR1_mrna	LMBR1	mrna	CANX_prot;EPRS_prot;TFAP2A_prot;TFAP2C_prot;XRN2_prot;ZNF146_prot	6
LMBRD1_mrna	LMBRD1	mrna	NCAPG_prot;SSB_prot;WDFY3_prot;YY1_prot	4
LMCD1_mrna	LMCD1	mrna	PDLIM3_prot	1
LMCD1_prot	LMCD1	prot	SORBS1_mrna;SMURF2_prot	2
LMF1_mrna	LMF1	mrna	IGHMBP2_prot;MAZ_prot;TTC13_prot	3
LMLN_mrna	LMLN	mrna	ESR1_prot;TFAP2C_prot	2
LMNB2_mrna	LMNB2	mrna	ATAD3A_prot;CDC20_prot;DDX10_prot;H2AFX_prot;ILF3_prot;LIG1_prot;MCM3_prot;MCM4_prot;MCM5_prot;MCM7_prot;NASP_prot;NLE1_prot;PRPF4_prot;PTBP1_prot;RAD21_prot;RBM8A_prot;RUVBL1_prot;SF3B2_prot;SMARCA4_prot;SMARCC1_prot;SSRP1_prot;TRAF4_prot;TRMT1_prot;WHSC1_prot;XRCC5_prot;XRCC6_prot;ZBTB7A_prot;ZNF598_prot	28
LMO2_mrna	LMO2	mrna	ADARB1_prot;DDX42_prot;DDX51_prot;POLL_prot;PWP2_prot;ZNF146_prot	6
LMO7_prot	LMO7	prot	ATP6V0D2_mrna;CHERP_mrna;HBB_mrna;MEX3C_mrna;OTUB1_mrna;RAB28_mrna;RBM12B_mrna;SLC34A3_mrna;ST3GAL3_mrna;TTC13_mrna;HDAC1_prot;HDAC3_prot;ILF3_prot	13
LMTK2_mrna	LMTK2	mrna	CEBPB_prot	1
LMX1B_prot	LMX1B	prot	COL4A1_mrna;PBX1_prot;SSBP2_prot	3
LNPEP_prot	LNPEP	prot	EPS15_mrna;SPIN1_mrna;AP2B1_prot;LGALS9_prot;TNKS_prot	5
LONP1_mrna	LONP1	mrna	BHLHE40_prot;EP300_prot	2
LOX_mrna	LOX	mrna	FBXL18_prot;JUN_prot;TFAP2A_prot	3
LPGAT1_mrna	LPGAT1	mrna	ESR1_prot	1
LPIN1_mrna	LPIN1	mrna	NFYA_prot;NFYB_prot;NFYC_prot	3
LPIN3_mrna	LPIN3	mrna	USF2_prot;ZNF143_prot	2
LPO_mrna	LPO	mrna	UBTF_prot;ZBTB7A_prot	2
LPP_mrna	LPP	mrna	CLASP1_prot;DDX59_prot;EEF1B2_prot;MBNL2_prot;PHC3_prot;PHKB_prot;RPL26L1_prot;SBF2_prot;ZNF207_prot	9
LPXN_prot	LPXN	prot	ARHGAP30_mrna;RAC2_mrna;LIMD1_prot;PDLIM7_prot;ZNF281_prot	5
LRBA_mrna	LRBA	mrna	RELA_prot	1
LRP8_mrna	LRP8	mrna	ECT2_prot;HIC1_prot;MCM4_prot;RNGTT_prot;RXRA_prot;TFAP2A_prot;WHSC1_prot	7
LRRC41_mrna	LRRC41	mrna	ERF_prot;SHC1_prot;SMARCC1_prot	3
LRRC58_mrna	LRRC58	mrna	CUL4B_prot;DHX9_prot;ELF1_prot;FBXO28_prot;HEATR1_prot;MAZ_prot;NEDD1_prot;NSMAF_prot;RBM26_prot;RIN2_prot;SSB_prot	11
LRRC59_mrna	LRRC59	mrna	ASH1L_prot;BUB3_prot;CIAO1_prot;DARS2_prot;EIF2S1_prot;GTF2E2_prot;HEATR1_prot;MTX1_prot;NONO_prot;PA2G4_prot;POLR2G_prot;RUVBL2_prot;TOMM34_prot;WDR4_prot;XRCC5_prot;ZNF207_prot	16
LRRC8C_mrna	LRRC8C	mrna	E2F4_prot;EZH1_prot	2
LRRFIP1_prot	LRRFIP1	prot	CCNB1_prot;DDX1_prot;DHX9_prot;EPRS_prot;MYD88_prot	5
LRRK2_mrna	LRRK2	mrna	CCNA2_prot;CDC20_prot;H2AFX_prot;MCM7_prot;WHSC1_prot	5
LRWD1_mrna	LRWD1	mrna	EP300_prot	1
LSM14B_mrna	LSM14B	mrna	MAZ_prot	1
LSR_mrna	LSR	mrna	TP53_prot	1
LTF_mrna	LTF	mrna	CEBPA_prot;ESR1_prot;ETS1_prot	3
LTN1_mrna	LTN1	mrna	BHLHE40_prot	1
LTV1_mrna	LTV1	mrna	RAD21_prot	1
LUC7L2_mrna	LUC7L2	mrna	CEBPB_prot;HMGB1_prot;KRR1_prot;TCF3_prot	4
LUM_mrna	LUM	mrna	COL14A1_prot;PRRX1_prot	2
LYL1_mrna	LYL1	mrna	APBB1IP_prot;CREB1_prot	2
LYNX1_mrna	LYNX1	mrna	DDX31_prot	1
LYN_mrna	LYN	mrna	CREB1_prot;ZC3HAV1_prot	2
LYPLAL1_mrna	LYPLAL1	mrna	ELF1_prot;TAF1_prot	2
LYRM1_mrna	LYRM1	mrna	BHLHE40_prot	1
LYRM2_mrna	LYRM2	mrna	CIAO1_prot;NSMAF_prot	2
LYRM4_mrna	LYRM4	mrna	CSTF1_prot;RPL26L1_prot;WDR18_prot	3
LYRM9_mrna	LYRM9	mrna	TBP_prot;UBTF_prot	2
LYSMD1_mrna	LYSMD1	mrna	HDAC2_prot	1
LYSMD4_mrna	LYSMD4	mrna	SMC3_prot	1
LYST_mrna	LYST	mrna	RXRA_prot	1
MACROD1_mrna	MACROD1	mrna	ESR1_prot;USF2_prot	2
MAFG_mrna	MAFG	mrna	CEBPB_prot;RXRA_prot	2
MAFG_prot	MAFG	prot	NQO1_mrna;CHD3_prot	2
MAGIX_mrna	MAGIX	mrna	ATAD2_prot;DTL_prot;FOXA1_prot;KNTC1_prot;MCM4_prot;MSH2_prot;RNGTT_prot;TFDP1_prot;WDHD1_prot	9
MAML1_mrna	MAML1	mrna	HDAC7_prot;HDAC8_prot;JUN_prot;TBP_prot	4
MAMSTR_mrna	MAMSTR	mrna	WRNIP1_prot	1
MAN2A2_mrna	MAN2A2	mrna	CEBPB_prot	1
MANEA_mrna	MANEA	mrna	ATAD2_prot;CDC5L_prot;CUL4B_prot;DHX9_prot;NEDD1_prot;PSPC1_prot;RBM14_prot;RNGTT_prot;SEH1L_prot;SYNJ1_prot;UTP15_prot;WDHD1_prot	12
MAP10_mrna	MAP10	mrna	ELF1_prot	1
MAP1LC3C_mrna	MAP1LC3C	mrna	ADARB1_prot;EIF4B_prot;PWWP2B_prot;UBTF_prot	4
MAP2K1_mrna	MAP2K1	mrna	YY1_prot	1
MAP2K3_mrna	MAP2K3	mrna	EP300_prot;IRF1_prot	2
MAP2K4_mrna	MAP2K4	mrna	NSMAF_prot;TAF13_prot;USF2_prot	3
MAP2K5_mrna	MAP2K5	mrna	SOS2_prot	1
MAP3K14_mrna	MAP3K14	mrna	TCF3_prot	1
MAP3K1_mrna	MAP3K1	mrna	AP2B1_prot;BHLHE40_prot;JUN_prot;MAZ_prot	4
MAP3K5_mrna	MAP3K5	mrna	E2F4_prot	1
MAP4K2_mrna	MAP4K2	mrna	AR_prot	1
MAP4K3_mrna	MAP4K3	mrna	HDAC2_prot;NBEAL1_prot	2
MAPK14_mrna	MAPK14	mrna	CDC5L_prot;CIRBP_prot;DDX3X_prot;G3BP1_prot;MRPL44_prot;NUP133_prot;POLR2E_prot;RNGTT_prot;SMG7_prot;TCF3_prot;YBX1_prot;ZFYVE1_prot	12
MAPK1IP1L_mrna	MAPK1IP1L	mrna	ASH1L_prot;DDX19B_prot;GTF2F1_prot;HMGA1_prot;NONO_prot;POLR2E_prot;PRPF4_prot;RELA_prot;WDR4_prot;XPNPEP1_prot;XRN2_prot;ZNF207_prot	12
MAPK3_mrna	MAPK3	mrna	ELK1_prot	1
MAPK8IP1_mrna	MAPK8IP1	mrna	HDAC1_prot;HDAC2_prot	2
MAPK8IP3_prot	MAPK8IP3	prot	MBD6_mrna;NKAIN4_mrna;PWWP2B_mrna;TMCC1_mrna;SPAG9_prot;TNKS_prot;WDR54_prot	7
MAPKAP1_mrna	MAPKAP1	mrna	ATF1_prot;BOP1_prot;CNOT4_prot;COPS3_prot;DDX19A_prot;EPRS_prot;GRSF1_prot;KBTBD2_prot;KPNA1_prot;KPNA4_prot;LARP4_prot;LIG1_prot;MRPL44_prot;MRPS12_prot;NEDD1_prot;NFYC_prot;NSMAF_prot;POLR2E_prot;PRPF4_prot;PSPC1_prot;RETSAT_prot;REXO4_prot;RXRB_prot;TOX4_prot;UBE4B_prot;UTP15_prot;WDR4_prot;WDSUB1_prot;YY1_prot;ZBTB20_prot;ZNF146_prot	31
MAPKAPK3_mrna	MAPKAPK3	mrna	ETS1_prot;JUND_prot;TBP_prot	3
MAPRE2_mrna	MAPRE2	mrna	EZH2_prot	1
MARCH5_mrna	MARCH5	mrna	MTX2_prot	1
MARCH8_mrna	MARCH8	mrna	EZH2_prot	1
MARK3_mrna	MARK3	mrna	CLASP1_prot;RFWD2_prot;SAP30_prot;SMU1_prot;TIA1_prot	5
MAST2_mrna	MAST2	mrna	ADARB1_prot;ELF1_prot	2
MAT2B_mrna	MAT2B	mrna	SP3_prot	1
MAU2_mrna	MAU2	mrna	ELK1_prot;JUND_prot	2
MAVS_mrna	MAVS	mrna	IRF3_prot	1
MAZ_prot	MAZ	prot	ABHD17C_mrna;ACLY_mrna;ADAM15_mrna;AGPAT5_mrna;AKIRIN1_mrna;AP2A1_mrna;AP2S1_mrna;AQR_mrna;ARHGDIA_mrna;ATL1_mrna;BCL2L13_mrna;BUB3_mrna;C12orf75_mrna;C1QTNF6_mrna;C1orf21_mrna;CA2_mrna;CACNA2D3_mrna;CALR_mrna;CAMKMT_mrna;CAP1_mrna;CAPZB_mrna;CARNMT1_mrna;CBX4_mrna;CCBL2_mrna;CCDC3_mrna;CCDC61_mrna;CD59_mrna;CDK2_mrna;CDK2AP2_mrna;CHMP7_mrna;CLCNKA_mrna;COG2_mrna;COQ3_mrna;CSTF2_mrna;CYFIP2_mrna;DGKQ_mrna;DNAL4_mrna;E2F7_mrna;EFR3B_mrna;EP400_mrna;FKBP7_mrna;FLVCR2_mrna;FZR1_mrna;GALNS_mrna;GTF3C2_mrna;GUK1_mrna;HSF1_mrna;HSPE1-MOB4_mrna;INPP5K_mrna;IPO13_mrna;ITSN2_mrna;KCNH2_mrna;LHFPL2_mrna;LIN7B_mrna;LMF1_mrna;LRRC58_mrna;LSM14B_mrna;MAP3K1_mrna;MIA3_mrna;MRPS16_mrna;MUTYH_mrna;NAA38_mrna;NACC1_mrna;NBPF9_mrna;NEK11_mrna;NFE2L1_mrna;NKIRAS1_mrna;NLE1_mrna;NPL_mrna;NSMCE4A_mrna;OPTN_mrna;ORMDL3_mrna;PAX5_mrna;PDCD4_mrna;PDE4DIP_mrna;PERM1_mrna;PHF23_mrna;PIP5K1A_mrna;PLEKHA3_mrna;POLDIP2_mrna;PPFIA3_mrna;PPM1L_mrna;PPP1R9B_mrna;PPP5C_mrna;PRDX3_mrna;PRELID3B_mrna;PRMT1_mrna;PVRL2_mrna;PWWP2B_mrna;RANGAP1_mrna;RAP1GDS1_mrna;RASSF4_mrna;RBBP4_mrna;RBMXL1_mrna;RFC5_mrna;RIF1_mrna;RMND5B_mrna;RNF168_mrna;RNF26_mrna;RUNDC3A_mrna;SAP30L_mrna;SENP3_mrna;SETDB2_mrna;SHANK2_mrna;SLC25A4_mrna;SLC7A5_mrna;SMARCD2_mrna;STK17A_mrna;SYDE1_mrna;TADA2B_mrna;THADA_mrna;THAP7_mrna;TMCC1_mrna;TMEM170A_mrna;TOMM40L_mrna;TP53INP1_mrna;TRAPPC2L_mrna;TRIP4_mrna;TRMT61B_mrna;TSG101_mrna;TUBA1A_mrna;TULP3_mrna;UBE2I_mrna;UBTF_mrna;UPF1_mrna;WDR6_mrna;XPO5_mrna;YWHAE_mrna;ZFAND3_mrna;ZNF395_mrna;ZNF441_mrna;ZNF442_mrna;ZNF568_mrna;ZNF687_mrna;ZNF740_mrna;ZNF775_mrna;JUN_prot	137
MBD1_prot	MBD1	prot	ARHGDIA_mrna;BCL2L13_mrna;EXOC5_mrna;FBXO38_mrna;FKBP15_mrna;PPP2R5D_mrna;ROCK1_mrna;SLAIN2_mrna;STX3_mrna;TRIM8_mrna;VAMP3_mrna;WDR1_mrna;ECT2_prot;HDAC1_prot;HDAC2_prot;HDAC3_prot;PIAS3_prot;SMAD5_prot	18
MBD2_mrna	MBD2	mrna	DNMT1_prot	1
MBD6_mrna	MBD6	mrna	ADARB1_prot;ANK1_prot;ARID1B_prot;BRD4_prot;BRF1_prot;DDX51_prot;FBXL17_prot;KLC3_prot;MAPK8IP3_prot;POLL_prot;PWP2_prot;PWWP2B_prot;SARDH_prot;TRIM5_prot;TTC28_prot;UBTF_prot;ZBP1_prot;ZBTB7B_prot;ZNF552_prot	19
MBIP_mrna	MBIP	mrna	NR2F2_prot	1
MBNL1_prot	MBNL1	prot	AFF1_mrna;ARL8B_mrna;CAB39_mrna;CFLAR_mrna;DCUN1D1_mrna;DIAPH2_mrna;DICER1_mrna;EPS15_mrna;EXOC4_mrna;EXOC5_mrna;FBXO38_mrna;FYTTD1_mrna;HIPK3_mrna;JMJD1C_mrna;KCNH2_mrna;KIAA0922_mrna;NUDCD3_mrna;PCNX_mrna;PHTF2_mrna;PPTC7_mrna;RNF6_mrna;RUFY2_mrna;SLAIN2_mrna;SNAP23_mrna;SRPX_mrna;TCF7L2_mrna;TIPRL_mrna;UFM1_mrna;USO1_mrna;ZNF493_mrna;DDX17_prot;DDX5_prot;DHX9_prot;MBNL2_prot;TIAL1_prot	35
MBNL2_prot	MBNL2	prot	AFF4_mrna;HIPK3_mrna;ITGAV_mrna;JMJD1C_mrna;LPP_mrna;PIK3C2A_mrna;SCOC_mrna;UBE2H_mrna;ZCCHC7_mrna;MBNL1_prot	10
MBOAT2_mrna	MBOAT2	mrna	RAD21_prot	1
MCAM_mrna	MCAM	mrna	CCNA2_prot;CCNB1_prot;CREB1_prot;DTL_prot;LAMA4_prot;MCM4_prot;NCAPG_prot;NCAPG2_prot;TFAP2A_prot;TFDP1_prot;WDHD1_prot	11
MCCC1_mrna	MCCC1	mrna	SMC3_prot	1
MCF2L_mrna	MCF2L	mrna	DHX9_prot;NEDD1_prot;PSPC1_prot;RNF7_prot;WHSC1_prot;ZBTB20_prot	6
MCFD2_mrna	MCFD2	mrna	ATF1_prot;GSTO1_prot;MRPL44_prot;POLR2E_prot;RCOR3_prot;RNGTT_prot;TBP_prot;TFAM_prot;TOX4_prot;XRN2_prot;YY1_prot	11
MCM3AP_mrna	MCM3AP	mrna	ANKFY1_prot;CDC5L_prot;CNOT4_prot;FBXL17_prot;FOXK2_prot;LARP4_prot;MCM4_prot;NUP133_prot;PATZ1_prot;POLR2E_prot;RBM14_prot;RIN2_prot;RNGTT_prot;SFPQ_prot;SMG7_prot;SYNJ1_prot;UACA_prot;UTP15_prot;WDR6_prot;WHSC1_prot;ZNF460_prot	21
MCM3_mrna	MCM3	mrna	CLIP1_prot;DTL_prot;ILF3_prot;MCM4_prot;MCM5_prot;MCM6_prot;MCM7_prot;MSH2_prot;NASP_prot;NCAPD3_prot;NLE1_prot;NONO_prot;RBBP4_prot;RUVBL1_prot;RUVBL2_prot;SMARCA4_prot;SMARCC1_prot;SNRPB2_prot;SSRP1_prot;TRIM28_prot;XRCC5_prot	21
MCM3_prot	MCM3	prot	BIRC5_mrna;BUB1_mrna;CCNB2_mrna;CCT3_mrna;CDCA5_mrna;CDK4_mrna;CDT1_mrna;CENPM_mrna;DTYMK_mrna;GINS2_mrna;HELLS_mrna;HMMR_mrna;KIF20A_mrna;LMNB2_mrna;MKI67_mrna;MSH2_mrna;NASP_mrna;NCL_mrna;NLE1_mrna;NME1-NME2_mrna;PAICS_mrna;PCNA_mrna;PIF1_mrna;PLK4_mrna;PPM1G_mrna;PRKDC_mrna;RAD54L_mrna;RBBP4_mrna;RFC5_mrna;RNF26_mrna;RUVBL2_mrna;SF3B3_mrna;SMARCC1_mrna;SNRPD1_mrna;TK1_mrna;UBE2C_mrna;XPO5_mrna;CDC5L_prot;CIAO1_prot;FKBP4_prot;FKBP5_prot;HDAC5_prot;MCM4_prot;MCM5_prot;MCM6_prot;MCM7_prot;MGMT_prot;RAD21_prot;RPA1_prot;SMC3_prot;SSRP1_prot	51
