Feature	Gene	Type	Neighbor_inData	NumNeigh_inData
AHR_mrna	AHR	mrna	AIP_prot;ARNT_prot;ESR1_prot;SMAD2_prot;SMAD4_prot	5
AHR_prot	AHR	prot	AHRR_mrna;ARNT_mrna;BRCA1_mrna;IL1B_mrna;IL6_mrna;MT2A_mrna;PCNA_mrna;AIP_prot;ARNT_prot;CUL4B_prot;EP300_prot;ESR1_prot;GTF2F1_prot;GTF2F2_prot;NCOA1_prot;NCOR2_prot;RBX1_prot;RELA_prot;SMARCA4_prot;STUB1_prot;TAF4_prot;TAF6_prot;TAF9_prot;TBP_prot	24
AHSA1_mrna	AHSA1	mrna	BOP1_prot;EIF2S1_prot;FKBP4_prot;FOXA1_prot;MRPS12_prot;WDR12_prot;WDR5_prot	7
AIFM3_mrna	AIFM3	mrna	ATAD3A_prot;DDX56_prot;LIG1_prot;MCM5_prot;MTX1_prot;NLE1_prot;POLR2G_prot;PRPF4_prot;RAE1_prot;REXO4_prot;RUVBL2_prot;WDR4_prot;XRCC6_prot	13
AIG1_mrna	AIG1	mrna	ELF1_prot	1
AIP_prot	AIP	prot	AHR_mrna;OTUB1_mrna;PCBP2_mrna;PPP1CA_mrna;TRAPPC2L_mrna;UBE2I_mrna;WBSCR16_mrna;AHR_prot;ARNT_prot	9
AK1_mrna	AK1	mrna	EP300_prot	1
AK2_mrna	AK2	mrna	ANAPC1_prot;APITD1_prot;ATAD3A_prot;BUB3_prot;ESR1_prot;GRSF1_prot;KARS_prot;LIG1_prot;MCM5_prot;MRPS12_prot;MTX2_prot;NLE1_prot;PRPF4_prot;PWP1_prot;REXO4_prot;RPA1_prot;SRP72_prot;SSRP1_prot;WDR4_prot;WDR5_prot;WDR77_prot;YBX1_prot;ZBTB20_prot;ZNRD1_prot	24
AK4_mrna	AK4	mrna	ANAPC1_prot;APITD1_prot;ATAD3A_prot;BUB3_prot;ESR1_prot;GRSF1_prot;KARS_prot;LIG1_prot;MCM5_prot;MRPS12_prot;MTX2_prot;NLE1_prot;PRPF4_prot;PWP1_prot;REXO4_prot;RPA1_prot;SRP72_prot;SSRP1_prot;WDR4_prot;WDR5_prot;WDR77_prot;YBX1_prot;ZBTB20_prot;ZNRD1_prot	24
AK9_mrna	AK9	mrna	CHD2_prot	1
AKAP10_mrna	AKAP10	mrna	ANKFY1_prot;CANX_prot;DDX42_prot;EPRS_prot;PSPC1_prot;SPAG9_prot	6
AKAP13_prot	AKAP13	prot	ESR1_prot;RANBP2_prot;RXRB_prot	3
AKAP1_mrna	AKAP1	mrna	SMC3_prot;YY1_prot	2
AKIRIN1_mrna	AKIRIN1	mrna	MAZ_prot	1
AKT1_mrna	AKT1	mrna	AR_prot;ESR1_prot;RELA_prot;TP53_prot;USF2_prot	5
AKT1_prot	AKT1	prot	AKT3_prot;APPL1_prot;AR_prot;BCL10_prot;CLTC_prot;CREBBP_prot;CTBP1_prot;DDX5_prot;DNMT1_prot;EEF1G_prot;EP300_prot;EZH2_prot;FKBP5_prot;GAB2_prot;HDAC3_prot;IKBKB_prot;NCOA4_prot;NCOR2_prot;NPM1_prot;NR2F2_prot;PA2G4_prot;PEA15_prot;PHB2_prot;SIRT1_prot;SMAD2_prot;SMAD4_prot;SMARCC1_prot;SMARCC2_prot;STAT5A_prot;STUB1_prot;YBX1_prot	31
AKT2_mrna	AKT2	mrna	ESR1_prot;FOXK2_prot;RELA_prot;WDR6_prot;ZBTB7A_prot	5
AKT3_prot	AKT3	prot	C20orf24_mrna;SCRN3_mrna;AKT1_prot;FKBP5_prot	4
ALDH16A1_mrna	ALDH16A1	mrna	EP300_prot	1
ALDH4A1_mrna	ALDH4A1	mrna	BHLHE40_prot;EZH2_prot	2
ALG1_mrna	ALG1	mrna	DDX19A_prot;DDX55_prot;EP300_prot;ETS1_prot	4
ALG1_prot	ALG1	prot	ACLY_mrna;AP2S1_mrna;CNPY2_mrna;TXNDC17_mrna	4
ALG2_mrna	ALG2	mrna	TAF1_prot	1
ALKBH4_mrna	ALKBH4	mrna	EP300_prot	1
ALKBH5_mrna	ALKBH5	mrna	BUB3_prot;EP300_prot;HEATR1_prot	3
ALKBH8_mrna	ALKBH8	mrna	GTF2F2_prot;SYNCRIP_prot	2
ALK_mrna	ALK	mrna	ZBTB7A_prot	1
